_d4399 		September +... 
_d4418 		downstairs there's a guy , that's right . 
_d4418 		mumba ? 
_d4418 		we're gonna go downstairs in a second  . 
_d4418 		boo boo .
_d4418 		light bu:lb . 
_d4418 		yup [: yes] that's the light bulb . 
_d4418 		okay Mommy's gonna carry these things down the stairs . 
_d4418 		the guy is downstairs . 
_d4418 		we're gonna actually just leave all these things right here . 
_d4418 		and , we're gonna go downstairs . 
_d4418 		we're gonna go see the man ? 
_d4418 		yeah .
_d4418 		this is the room we used to make copies in , these are too heavy . 
_d4418 		that's not gonna work . 
_d4418 		I think he might be in his truck . 
_d4418 		or he might be in the bathroom fixing the other thing that needs fixing . 
_d4418 		let's move the garbage out of his way , look he has a special light bulb down there set up for himself . 
_d4418 		special light bulb . 
_d4418 		Naima , are you hungry ? 
_d4418 		the guy has a light bulb down there .
_d4418 		this is Mommy and Daddy's coffee . 
_d4418 		which Mommy's gonna take care of right now . 
_d4418 		yeah I'm gonna dump out the coffee .
_d4418 		the old coffee . 
_d4418 		yeah I'm putting the things over here . 
_d4418 		away , yeah . 
_d4418 		oops .
_d4418 		where did that come from ? 
_d4418 		come from .
_d4418 		yeah there's a picture of Zoe . 
_d4418 		pla:y . 
_d4418 		oh it's not time to play , it's time to go to bed . 
_d4418 		that's what's in that book . 
_d4418 		are you hungry , you had +...
_d4418 		banging .
_d4418 		look at this ! 
_d4418 		oh , apples and blueberries . 
_d4418 		oh lucky baby , let's have apples and blueberries . 
_d4418 		mmmm , want some yogurt , and cookies and raisins , Daddy left this out ,  it's finished , we have_to put it in the garbage .
_d4418 		oh , I know what you're telling me .
_d4419 		you're reminding me that there was a shovel in the laundry . 
_d4419 		and we found a yellow shovel in the laundry the other day right ? 
_d4419 		okay you're gonna sit right here and have some breakfast . 
_d4419 		mmmm .
_d4419 		yogurt . 
_d4419 		yogurt , hey .
_d4419 		how did this happen ?
_d4419 		your backpack is all messed up ! 
_d4419 		messed up ! 
_d4419 		here we go .
_d4419 		it was messed up . 
_d4419 		want a little bit ?
_d4420 		mmmm . 
_d4420 		let's put on a bib , would you like some apple blueberry sauce too ? 
_d4420 		mmmm ,  it's ,  it's so difficult to open , ouch , difficult . 
_d4420 		mmmm . 
_d4420 		oh+my+goodness ,  . 
_d4420 		that jar was on tight . 
_d4420 		how about some of this ? 
_d4420 		is that a good combination , yogurt and apple blueberry sauce ? 
_d4420 		mmmm ,  , yummy . 
_d4420 		I wonder . 
_d4420 		I was saying I wonder if this fits you , I didn't know if the red suit that you're wearing fits you . 
_d4420 		it fits you but you know your legs are so long that the pants part of the suit is short on you . 
_d4420 		that's the only thing . 
_d4420 		I wonder . 
_d4420 		Mommy said I wonder if this fits you . 
_d4420 		it means I don't know if it fits you that's what that means . 
_d4420 		that's the same as saying I don't know if this fits you but I want to find out .
_d4420 		yes we ate at Ying's last night . 
_d4420 		do you remember what we ate there ? 
_d4420 		what did Naima eat there ? 
_d4420 		yes you ate avocado and you ate +... 
_d4420 		lemon , that's right . 
_d4420 		you had a plate of lemon to eat , and +... 
_d4420 		did you eat anything else there ? 
_d4420 		sushi . 
_d4420 		you ate sushi . 
_d4420 		sushi rice . 
_d4420 		and you and Daddy went and looked at all those statues . 
_d4420 		yeah .
_d4420 		man , that's right . 
_d4420 		mmmm+hmmm .
_d4420 		you saw luna doggie . 
_d4420 		it was awhile ago . 
_d4420 		here you go . 
_d4420 		xxx . 
_d4421 		come have a bite . 
_d4421 		are you done ?
_d4421 		you ate at Ying's last night with Mommy and Daddy . 
_d4421 		want me to put a raisin on it ,  you're drinking your water , okay . 
_d4421 		oh you're gonna sit the water on the bed ? 
_d4421 		you're all done now , okay .
_d4421 		oh there's a little water there , that's okay . 
_d4421 		don't worry about it , you want some cookie ? 
_d4421 		oh beard , you want the fear beard poem ?
_d4421 		you don't want the cookie , okay . 
_d4421 		I'll eat it , you wanna give it to me ? 
_d4421 		I'll eat it if you don't want it ? 
_d4421 		nonsense rhyme , there was an old man with a beard , who said it is just as I feared ! 
_d4421 		two owls and a hen , four larks and a ren , have all built my , built their nests in my beard .
_d4421 		that looks like the ren , that's the hen , those are the four larks . 
_d4421 		and there's the mommy lark carrying a worm to feed her babies , baby birds who are saying feed me feed me ! 
_d4421 		feed me ! 
_d4421 		that's what baby birds do .
_d4422 		do you ever do that ? 
_d4422 		and there's owls , two owls , one hen , one ren , two owls and four larks . 
_d4422 		one , two , three .
_d4422 		nest , those are nests .
_d4422 		nests . 
_d4422 		yeah . 
_d4422 		yeah . 
_d4422 		the mommy lark is holding a worm in her beak , she's bringing the worm to give her babies to eat . 
_d4422 		feed me , feed me ! 
_d4422 		yeah like that ,  , they open their mouths really wide and they stick them up in the air ,  . 
_d4422 		and they wait for mommy to drop some food in their mouth .
_d4422 		ah , like that . 
_d4422 		feed me ,  ! 
_d4422 		let's see what else , there's a lot of birds in this baby book . 
_d4422 		five fuzzy geese , all in a row , waddle on the grass , do you know how to waddle ? 
_d4422 		yeah .
_d4422 		waddle waddle waddle , watch them go: . 
_d4422 		one two three four five . 
_d4422 		yes . 
_d4422 		Mommy was counting , I counted the geese , one two three four five . 
_d4422 		the geese are fuzzy , their fur is fuzzy , their feathers are fuzzy , mama goose , that's the mommy . 
_d4422 		hey they're splashing and playing the water those geese . 
_d4422 		splashing . 
_d4422 		chicks , yeah , chicks , here's a new one , storm music ,  the big pan ,    . 
_d4422 		make a loud and thunderous song , tap the small spoon . 
_d4422 		hear the quiet rain drop drip . 
_d4422 		oh , the kid is under the pot . 
_d4422 		yeah .
_d4423 		that boy is playing in the puddle with his pony . 
_d4423 		he has a pony . 
_d4423 		hi pony . 
_d4423 		here's another rhyme called oops , wet grass , running feet , slipping , sliding , we:t seat . 
_d4423 		okay let's see ,  and this is , there's a worm in this one too . 
_d4423 		shh , Kim keeps quiet and still , there's a pretty bird in the yard , there's the bird . 
_d4423 		looks like they've been digging . 
_d4423 		the bird pulls a worm from the earth , what a funny breakfast , what's that bird doing in that picture ? 
_d4423 		what's that bird doing ? 
_d4423 		oh telephone . 
_d4423 		let's get the phone . 
_d4423 		hello . 
_d4423 		hi sweetie+pie . 
_d4423 		hi . 
_d4423 		I have some good news and some bad news .
_d4423 		what's that ? 
_d4423 		the good news is I'm taking a break from the hospital .
_d4423 		I'm gonna go and try to set up my computer .
_d4423 		yeah .
_d4423 		and I  coming over there so +...
_d4423 		I can't hear you +...
_d4424 		because she's talking into the speaker+phone , you're going over there ? 
_d4424 		yeah , crib . 
_d4424 		xxx  . 
_d4424 		what were you thinking ? 
_d4424 		Naima wants to tell you about Ying's . 
_d4424 		uh huh , boy ,  huh , well ,  I can't come over right now because there's a plumber here  I could leave at ten and skip +... 
_d4424 		the first part of the library , there's a +...
_d4424 		guy here she's telling you . 
_d4424 		uh the plumber's [: plumber is] here for the sink , which , and the bathroom stopper , which I had told you about , I , I know you forgot . 
_d4424 		the electrician +//.
_d4424 		Naima stop , that's not for babies , that is not for babies to push , I'm sorry , no .
_d4424 		no you cannot push those buttons .
_d4424 		no , Mama said grown ups do it only . 
_d4424 		are you gonna have your cell phone on you so I can reach you later ? 
_d4424 		alright , bye . 
_d4424 		Naima .
_d4424 		you can't push those buttons , I don't want you to do it . 
_d4424 		you turned it on , no . 
_d4424 		no , Mommy pushed it (be)cause I wanted to turn it off , Naima .
_d4424 		okay .
_d4424 		are we gonna put your shoes on ? 
_d4424 		we have_to figure out if we're gonna go to the new house or if we're gonna go to the library . 
_d4424 		Daddy was in his car when he called us , Daddy was in his car .
_d4425 		he was going to the new house . 
_d4425 		yeah .
_d4425 		Naima I asked you not to push that .
_d4425 		I'm pushing it (be)cause I'm turning it off when you turn it on . 
_d4425 		see ? 
_d4425 		don't touch that right now , okay ? 
_d4425 		now let's do something else .
_d4425 		no , not , doggie woggie can't do it either , it's for grownups . 
_d4425 		okay .
_d4425 		hello . 
_d4425 		speaking . 
_d4425 		oh hi . 
_d4425 		oh great . 
_d4425 		I would love to get on a schedule to have it delivered . 
_d4425 		is , is the +...
_d4425 		is there a time of day that you can commit to when you commit to a day ? 
_d4425 		uh huh . 
_d4425 		uh yeah I mean I would like to be on for Saturday if I can , Naima no .
_d4425 		yeah , yeah , anytime after what time , anytime after what time , okay .
_d4425 		okay , so I can call Saturday morning , and I might , you're putting me down +...
_d4425 		uh , I don't have a pen so it's lost on me . 
_d4425 		uh thanks very much , yeah . 
_d4425 		okay , okay .
_d4425 		thanks , bye bye .
_d4425 		yeah . 
_d4425 		do we have any toys that have buttons on them for you , let's go look and see what toys we have . 
_d4425 		yeah .
_d4425 		you need something with buttons to push , dontcha [: don't you] . 
_d4425 		okay let's see .
_d4425 		that's almost finished , forty two , why +...
_d4425 		oh , excuse this little +... 
_d4425 		it should not be flashing , why are you flashing ? 
_d4426 		you wanna take those things out ?
_d4426 		that would be okay . 
_d4426 		mmmm , here's this , this thing . 
_d4426 		that's the special pillow . 
_d4426 		today is +...
_d4426 		xxx , are you hiding ? 
_d4426 		ah , let's see , twenty twenty+one twenty+two , Monday , September twenty+third .
_d4426 		is that a bed ?
_d4426 		today is Monday , September twenty+third , and +...
_d4426 		okay , let's [: let us] play legos again .
_d4427 		good idea . 
_d4427 		yeah , I have a microphone .
_d4427 		you have one , too . 
_d4427 		yeah , I'm bringing the legos over here . 
_d4427 		in fact +...
_d4427 		let's [: let us] play with the legos right up here .
_d4427 		although all our stuff has been here longer than that . 
_d4427 		and this week we have noticed that Nai(ma) +/.
_d4427 		goldenrod ! 
_d4427 		what did we do with the goldenrod ?
_d4427 		we were digging it .
_d4427 		or she says , it's raining today . 
_d4427 		and she likes to say a while ago , and she likes to say ,  +... 
_d4427 		I think she says yesterday , and she has said tomorrow . 
_d4427 		what's up ?
_d4427 		raining tomorrow ? 
_d4427 		it's raining today , actually . 
_d4427 		um +... 
_d4427 		and she's using personal pronoun , you and me .
_d4427 		mostly you (.) to refer to (.) herself (.) much more frequently .
_d4427 		um , Mommy carry you , she'll say that . 
_d4427 		and it's also a transition time cause we're doing lots_of new things and meeting lots_of new people just in the last couple weeks . 
_d4427 		because it's the fall , and we started new activities , like music class , and new music class , with new kids in it .
_d4427 		we've only been to that twice . 
_d4427 		and we're at a different group in the library , with the big kids . 
_d4427 		and Naima started a swim class with Daddy , and there's new kids in that , and it's a new thing to do something with Daddy alone like that . 
_d4427 		and Naima has a potty now , which is right here .
_d4427 		which (.) is a very +//. 
_d4427 		which is basically a toy right now .
_d4427 		um (.) so all those things are going on . 
_d4427 		and there's a+lot more sentences , and long sentences .
_d4427 		things off ? 
_d4427 		you mean the legos ? 
_d4427 		let's [: let us] play with them up here . 
_d4427 		can I have the Lego base plate please ? 
_d4427 		ooh . 
_d4427 		we could play with the legos right up here . 
_d4427 		let's [: let us] take them all off +... 
_d4427 		and Naima has her own room in the new house , which is also very different , because we were all in one room in the old house . 
_d4427 		you putting your potty up here ? 
_d4427 		where's the inside part of the potty ? 
_d4427 		oh , you're giving me that Lego ? 
_d4427 		I think legos might be a noisy thing to play with .
_d4427 		what is it ? 
_d4427 		yes , it's the base plate . 
_d4427 		that's right . 
_d4427 		let's [: let us] see if this is (.) good .
_d4427 		yeah , that's the Lego base plate . 
_d4427 		you're standing on the base plate .
_d4427 		what are we gonna build ?
_d4427 		where's the middle part of the potty , anyway ? 
_d4427 		oh , we'll get it later . 
_d4427 		what are we gonna make with the legos now ? 
_d4427 		oh , you want the potty up here .
_d4427 		mmmm .
_d4427 		what ? 
_d4427 		that's the floor . 
_d4427 		a school bus ?
_d4427 		yeah , that's the rug .
_d4428 		this is the bed platform , the platform for the bed . 
_d4428 		the bed isn't here yet . 
_d4428 		the bed goes on it . 
_d4428 		odd person ? 
_d4428 		oh the person to play the odd game with ? 
_d4428 		the odd game is only played with a little person +...
_d4428 		I don't know where the person is .
_d4428 		Naima , I really don't know . 
_d4428 		packed up ? 
_d4428 		you mean when we moved , we packed up the person ?
_d4428 		mmmm , it's probably in a box still .
_d4428 		what did we do this morning ?
_d4428 		do you remember what we did this morning ? 
_d4428 		that was the day before yesterday . 
_d4428 		what did we do with the goldenrod ? 
_d4428 		yeah , who was digging it ? 
_d4428 		and what were you doing ?
_d4428 		helping ! 
_d4428 		you were helping a+lot .
_d4429 		xxx ? 
_d4429 		what ? 
_d4429 		saving ? 
_d4429 		you're saving them ,  .
_d4429 		green lego .
_d4429 		yep [: yes] .
_d4430 		the base plate is green . 
_d4430 		what else did we do this morning ? 
_d4430 		do you remember it was raining ? 
_d4430 		we went outside into the car ? 
_d4430 		do you need to use the potty ? 
_d4430 		no ? 
_d4430 		okay .
_d4430 		yeah , that's the potty . 
_d4430 		yeah , you wanna poop in it ?
_d4430 		where's the center part of it ? 
_d4430 		where's the white part ? 
_d4430 		did you put it in the bathroom ?
_d4430 		I don't see it in he:re . 
_d4430 		I don't see it . 
_d4430 		okay , I'm just seeing if I can find the other part of the potty . 
_d4430 		the business part . 
_d4430 		yep [: yes] , there's some tape on the floor there . 
_d4430 		oh , here it is . 
_d4430 		it's in the laundry basket .
_d4430 		oh , good . 
_d4430 		would you like to sit on it since you're pooping ? 
_d4430 		no , okay .
_d4430 		all+right , I'll play legos with you . 
_d4430 		save them ? 
_d4430 		that's a big lego .
_d4430 		big red lego . 
_d4430 		we also went +//. 
_d4430 		this morning we went in the car .
_d4430 		it was raining . 
_d4430 		it was calm . 
_d4430 		it wasn't too windy , that's right .
_d4430 		it was calm . 
_d4430 		a:nd (.) where did we go in the car ? 
_d4430 		we went to buy things . 
_d4430 		where did we buy them ? 
_d4430 		where did you take a nap today ? 
_d4430 		did you take a nap today ? 
_d4430 		oh , you wanna wear that as a bangle ? 
_d4430 		it won't fit on your hand .
_d4430 		it's too little .
_d4430 		it's too little . 
_d4430 		that's a big red lego . 
_d4430 		mmmm+hmmm . 
_d4430 		mmmm , it's here . 
_d4430 		see ? 
_d4430 		I think there's another one somewhere . 
_d4430 		and then we went and had lunch , right ? 
_d4430 		yeah .
_d4430 		Daddy what ? 
_d4430 		what was Daddy eating ?
_d4430 		for lunch .
_d4430 		cheese .
_d4430 		carrots .
_d4431 		what else ? 
_d4431 		avocado . 
_d4431 		oh ,  . 
_d4431 		he told you it was guacamole .
_d4431 		he said guacamole when he gave it to you .
_d4431 		guacamole !
_d4431 		it's a special kind of avocado .
_d4432 		guacamole . 
_d4432 		you like that word ?
_d4432 		guacamole .
_d4432 		guacamole .
_d4432 		it's called (.) guacamole . 
_d4432 		uh+oh . 
_d4432 		mmmm+hmmm . 
_d4432 		you want me to get that for you ? 
_d4432 		can you say Mommy please get that .
_d4432 		that's backwards . 
_d4432 		it actually goes this way .
_d4432 		you ready to have your diaper changed ? 
_d4432 		let's [: let us] go in the other room and change your diaper . 
_d4432 		yeah , you can take a lego with you though .
_d4432 		a yellow one and a blue one , that's a good idea . 
_d4432 		that's a great idea . 
_d4432 		that way you have two legos with you . 
_d4432 		just for security .
_d4432 		it was raining today , but now it has stopped . 
_d4432 		it is not raining anymore .
_d4432 		yes , it's calm out . 
_d4432 		it is actually calm out . 
_d4432 		it was raining when we were in the car . 
_d4432 		yes , I'm taking the microphone off so that you can lie down while I'm changing your diaper .
_d4432 		I think mine is still on .
_d4433 		yours I took off . 
_d4433 		let's [: let us] get some wipes  .
_d4433 		here's your blue lego and here's your yellow lego . 
_d4433 		hmmm . 
_d4433 		mine is on . 
_d4433 		you're pointing to mine .
_d4433 		when you say mine .
_d4433 		yours is off .
_d4433 		Naima's is off . 
_d4433 		Naima's microphone is off . 
_d4433 		Mommy's microphone is still on . 
_d4433 		Mommy's microphone is still on . 
_d4433 		oops .
_d4434 		it's right there . 
_d4434 		next to you . 
_d4434 		xxx .
_d4434 		I can hear the dryer . 
_d4434 		can you hear the dryer ?
_d4434 		Mommy's microphone is on . 
_d4434 		Naima's is off . 
_d4434 		guacamole .
_d4434 		that avocado's name is guacamole , that's right . 
_d4434 		you liked that word , didn't you ? 
_d4434 		Daddy liked saying it to you at lunchtime today .
_d4434 		yeah , you were eating lunch today with Mommy and Daddy at the restaurant . 
_d4434 		we didn't eat pizza . 
_d4434 		we ate (.) guacamole . 
_d4434 		and +/.
_d4434 		yeah !
_d4434 		yeah , beans .
_d4434 		and rice , too , right ? 
_d4434 		did you eat some rice ? 
_d4434 		yeah , you did .
_d4434 		eat something else ? 
_d4434 		what else did you eat ? 
_d4434 		guacamole . 
_d4434 		the name of that avocado is guacamole . 
_d4434 		is that funny ? 
_d4435 		nursie badigi . 
_d4435 		nursie Mommy . 
_d4435 		uh+huh . 
_d4435 		you're nursing with Mommy a+lot .
_d4435 		yes , that's true . 
_d4435 		that's true . 
_d4435 		and you're saying ribbit a+lot .
_d4435 		bye bye , Jeremiah . 
_d4435 		okay , let's [: let us] sit up .
_d4435 		let's [: let us] change the shirt .
_d4435 		yeah , Jeremiah is a statue of a froggy . 
_d4435 		yep [: yes] , I have some buttons on my shirt today . 
_d4435 		achooie .
_d4435 		let's [: let us] put on this dress , okay ?
_d4436 		wanna stand up , please ? 
_d4436 		just stand up and we'll put this on .
_d4436 		guacamole ? 
_d4436 		Daddy called that ? 
_d4436 		Daddy said (.) guacamole . 
_d4436 		he told you it was called guacamole . 
_d4436 		guacamole . 
_d4436 		let's [: let us] leave the wipes alone , okay ? 
_d4436 		I'm gonna I'd like to save them +/.
_d4436 		hey look , it's your train !
_d4436 		you gonna rub the wheels on her legs ? 
_d4436 		xxx button this ? 
_d4436 		oh , you're gonna rub me with the train ? 
_d4436 		the train is on my +... 
_d4436 		leg ! 
_d4436 		in fact , it's on my thigh . 
_d4436 		yeah , there's a man on the train . 
_d4436 		it's a face .
_d4436 		you wanna bring that toy ? 
_d4436 		bring some other toys in ? 
_d4436 		toy boat ?
_d4436 		come on in ! 
_d4436 		pitter patter . 
_d4436 		who says pitter patter ?
_d4436 		yes , he says that . 
_d4436 		we thought you were saying peanut butter until he told me he'd said that to you . 
_d4436 		peanut butter feet . 
_d4436 		I thought , peanut butter feet ? 
_d4436 		what is she talking about ?
_d4436 		and then Daddy said o:h , pitter patter of little feet .
_d4437 		I'm just washing my hands . 
_d4437 		I'll be done in one second .
_d4437 		okay , there's a lot of laundry here . 
_d4437 		and there's more in the living+room . 
_d4437 		I'm gonna get it and we can fold laundry !
_d4437 		what fun ! 
_d4437 		look at all this laundry ! 
_d4437 		what are we gonna do ?
_d4437 		we're gonna be folding laundry for hours ! 
_d4437 		oh my gosh , are you +//?
_d4437 		you better help me .
_d4437 		I'm gonna put the potty back . 
_d4437 		oops .
_d4437 		sorry , boo+boo .
_d4437 		I put the potty back in the bathroom , okay ? 
_d4437 		I'm gonna put the little potty next to the big potty . 
_d4437 		kay [: okay] ? 
_d4437 		yeah .
_d4437 		those are rags . 
_d4437 		do you wanna help fold the rags ?
_d4437 		you fold the rags , and I'll fold the other clothes . 
_d4437 		Naima can help fold these . 
_d4437 		the train is in the laundry basket . 
_d4437 		you can get it , Naima . 
_d4437 		hey , your goat is on the base plate . 
_d4437 		here are the rags .
_d4437 		careful . 
_d4437 		xxx . 
_d4437 		guacamole . 
_d4437 		what's that boat doing ? 
_d4437 		this is the platform for the bed . 
_d4437 		Mommy and Daddy's bed . 
_d4437 		yeah .
_d4437 		yeah , Mommy and Daddy are gonna sleep on it once we get the bed . 
_d4437 		Naima can sleep there sometimes too .
_d4437 		oh , are you sleeping now ?
_d4438 		oh . 
_d4438 		hmmm . 
_d4438 		mine is still on . 
_d4438 		mmmm , you have red and yellow legos there , huh ? 
_d4438 		mmmm+kay [: okay] . 
_d4438 		oh , you wanna make stairs with the legos ? 
_d4438 		okay .
_d4438 		yeah , there are some legos . 
_d4438 		tent ? 
_d4438 		you could make a tent with rags and the legos . 
_d4438 		you wanna make a tent for your friends ? 
_d4438 		here , I'll show ya [: you] . 
_d4438 		you cold make a tent with the rags for your friends . 
_d4438 		we need to make one big (.) one big pole in the middle . 
_d4438 		okay . 
_d4438 		well , I'm gonna make a tent . 
_d4438 		and I need to make a pole for the tent . 
_d4438 		those are stairs , yep [: yes] . 
_d4438 		okay , where are the friends ? 
_d4438 		tent . 
_d4438 		where are they ?
_d4438 		are they in the school bus ? 
_d4438 		are they in the bathroom ? 
_d4438 		you don't know . 
_d4438 		you  go look for them .
_d4438 		Mommy doesn't know where they are . 
_d4438 		you could call them . 
_d4438 		Lucy , Emily Mama Lee . 
_d4438 		are they in there ? 
_d4438 		do you see them ? 
_d4438 		no ?
_d4438 		okay , I'll help you look for them .
_d4438 		where are those friends when you need em [: them] ? 
_d4438 		I see a big lego over there and I see a yellow one over there , but I don't see the friends yet . 
_d4438 		oh , they're here ! 
_d4438 		they're right here . 
_d4438 		here are your friends .
_d4438 		see ? 
_d4438 		I found them .
_d4438 		ooh , sorry , Boo . 
_d4438 		I bumped you with my knee by accident .
_d4438 		see here's that tent . 
_d4438 		and the friends can go underneath . 
_d4438 		Lucy I haven't seen for a while . 
_d4438 		I don't know , honey .
_d4438 		xxx . 
_d4438 		yeah , that was loud .
_d4438 		did the friends have fun in the tent ? 
_d4438 		can you roll the train ? 
_d4438 		train's [: train is] over there ?
_d4438 		that train is far away now .
_d4438 		careful . 
_d4438 		whoa .
_d4438 		train is hiding ?
_d4438 		is the train hidden ?
_d4439 		I think the train is hidden . 
_d4439 		I can't see the train at all .
_d4439 		where is it ?
_d4439 		is it in the kitchen ?
_d4439 		careful , look where you are . 
_d4439 		look where your feet are .
_d4439 		I think the train might be in the kitchen . 
_d4439 		I can't see it at all .
_d4439 		I don't know where it is . 
_d4439 		who's [: who is] having fun ? 
_d4439 		friends ? 
_d4439 		the friends are having fun ?
_d4439 		wee: ! 
_d4439 		did you have fun yesterday at the play+ground ? 
_d4439 		oh ,  went with you to the play+ground the other day .
_d4439 		that was a while ago . 
_d4439 		Naima and Mommy went yesterday . 
_d4439 		Naima and Mommy went to the play+ground yesterday . 
_d4439 		after we met +/.
_d4439 		things ?
_d4439 		oh , swings , yeah .
_d4439 		you were on the swings for a long time .
_d4440 		that was yesterday . 
_d4440 		yeah , that's , those seeds belong in the bird feeder . 
_d4440 		they spilled on the bed .
_d4440 		we should sweep them up . 
_d4440 		we should clean it up .
_d4440 		let's [: let us] take these seeds and take them away . 
_d4440 		I'm sweeping them . 
_d4440 		I'm sweeping them into my hand .
_d4440 		Suzanne , right .
_d4440 		and what am I doing right now ? 
_d4440 		uh+huh . 
_d4440 		I'm cleaning the seeds up . 
_d4440 		are you helping me ?
_d4440 		mmmm , there's bird seed all over the floor in the bedroom ! 
_d4440 		do you know why ? 
_d4440 		because +/.
_d4440 		the men who painted the deck put the bird feeder in Mommy and Daddy's room with all the seeds in it .
_d4440 		so that +/.
_d4440 		they spilled .
_d4441 		I am . 
_d4441 		what do you think I'm doing ?
_d4441 		what a +/.
_d4441 		yes , I'm cleaning them .
_d4441 		you're spreading them and making more of a mess . 
_d4441 		I'm trying to put them all in my hand , see ? 
_d4441 		can you lift them up with your fingers and put them in my hand ? 
_d4441 		that would be even more helpful . 
_d4441 		thank+you .
_d4441 		I'm picking them up with my fingers . 
_d4441 		there is a big rock over there . 
_d4441 		I was taping boxes a lot last week when we were packing to go .
_d4441 		you were helping me tape the boxes , weren't you ?
_d4442 		you want some tape now ? 
_d4442 		here , I can give you some tape on this box .
_d4442 		there . 
_d4442 		yeah , blue tape .
_d4442 		you can have it . 
_d4442 		helping , yeah . 
_d4442 		you're such a good helper , Naima . 
_d4442 		is there anything in there ? 
_d4442 		oh , what's that ? 
_d4442 		what is it ? 
_d4442 		xxx  ? 
_d4442 		xxx  is not here today . 
_d4442 		xxx  will come again on Thursday . 
_d4442 		and she will probably come with  . 
_d4442 		okay . 
_d4442 		hey , there're [: there are] birds out there ! 
_d4442 		I just saw a bunch of birds . 
_d4442 		I'm gonna throw the bird seed away in the garbage , okay ? 
_d4442 		chee chee chee , say the birds , chee chee chee ! 
_d4442 		chee chee chee , say the birds .
_d4442 		chee chee chee ! 
_d4442 		you wanna make another tent for the friends ? 
_d4442 		chick+a+lee+lee+lee .
_d4442 		chick+a+lee lee lee .
_d4443 		chick+a+dee    . 
_d4443 		Naima , please don't throw those on the floor . 
_d4443 		your sock came off . 
_d4443 		please don't throw those , okay ? 
_d4443 		Naima , Mommy is asking you not to throw those . 
_d4443 		we need the clown ?
_d4443 		well , I don't know where the clown is . 
_d4443 		so I guess the friends +/.
_d4443 		Naima's bath ? 
_d4443 		balls ,  . 
_d4443 		are we missing some balls for you to play with ?
_d4443 		oh , clunk . 
_d4443 		ya [: you] bonked me !
_d4443 		lemme [: let me] fix this microphone for a second . 
_d4443 		you bonked Mommy . 
_d4443 		sorry , there . 
_d4443 		that's better .
_d4443 		what are you gonna make with the legos next ? 
_d4443 		yeah , we took the +/.
_d4443 		we took the seeds away .
_d4443 		we cleaned up the seeds already . 
_d4443 		who did we meet yesterday , when we were with  ? 
_d4443 		remember  came to visit ? 
_d4443 		and then we walked with her to her house ? 
_d4443 		who did we meet ? 
_d4443 		who did we meet yesterday ? 
_d4443 		a little girl and a little boy and their Mommy and their two dogs and their cat . 
_d4443 		yeah , what were their names ? 
_d4443 		no ,  came to visit us a while ago . 
_d4443 		this is somebody else . 
_d4443 		that wasn't  . 
_d4443 		yesterday ?
_d4443 		we didn't see  yesterday , we saw (.)  (.)  , and what's [: what is] their Mommy's name ? 
_d4443 		do you remember her name ?
_d4443 		yeah ,  .
_d4443 		we met their mommy  . 
_d4443 		how many dogs do they have ? 
_d4443 		do you know how many dogs they have ?
_d4443 		you were patting the dogs . 
_d4443 		how many dogs ? 
_d4443 		one kitty+cat .
_d4443 		will you be careful please ? 
_d4443 		Naima , you're not being very careful , Boo .
_d4443 		oh , hugging baby .
_d4443 		be careful ,  . 
_d4443 		yeah .
_d4443 		xxx .
_d4443 		Mommy's [: Mommy is] gonna put these towels in the linen closet over here .
_d4444 		I'm just putting these towels away over here . 
_d4444 		you can come help me if you want to .
_d4444 		hi . 
_d4444 		boy  boy  boy  boy  boy . 
_d4444 		xxx .
_d4444 		xxx .
_d4444 		okay , let's [: let us] go back in Mommy and Daddy's room .
_d4445 		hmmm . 
_d4445 		base plate . 
_d4445 		that's different from baseball .
_d4445 		baseball is something different . 
_d4445 		drawing with paper ? 
_d4445 		xxx . 
_d4445 		mmmm ! 
_d4445 		are you rubbing your face on my belly ? 
_d4445 		mmmm !
_d4445 		you got an itchy nose or something ?
_d4445 		oh , Naima . 
_d4445 		you all+right ?
_d4445 		Naima , you are not being careful , and you may not climb up on that .
_d4445 		no climbing . 
_d4445 		no climbing , get down please .
_d4445 		get down please . 
_d4445 		okay . 
_d4445 		what was I doing with the towels ? 
_d4445 		was I putting them away ?
_d4445 		hey , the laundry stopped ! 
_d4445 		let's [: let us] go fix it .
_d4445 		let's [: let us] go wash it some more . 
_d4445 		but first of all , I asked you not to touch the diaper pail , right ? 
_d4445 		so I'm gonna put it away . 
_d4445 		okay . 
_d4445 		now , do you think these diapers are dry ? 
_d4445 		let's [: let us] check them .
_d4445 		o:h , not dry . 
_d4445 		da:mp . 
_d4445 		we'll dry them again . 
_d4445 		again . 
_d4445 		let's [: let us] see , that's gonna be very loud , so I'll wait a minute . 
_d4445 		and these clothes of yours (.) probably need another wash . 
_d4445 		maybe a little baking soda . 
_d4445 		yeah . 
_d4445 		that's what we use to do the laundry , isn't it ? 
_d4445 		wee wee wee .
_d4445 		hello , Boo . 
_d4445 		hi , let's [: let us] go back in the other room . 
_d4445 		yeah , let's [: let us] bring that laundry basket with us . 
_d4445 		you are being so helpful today . 
_d4445 		that belongs in Naima's room , doesn't it ? 
_d4445 		yeah . 
_d4445 		that's where we put your dirty clothes . 
_d4445 		hey , Koala Mala is in there taking a little nap , I think . 
_d4445 		I think Koala Mala is taking a little nap .
_d4445 		Koala Mala walla ?
