_t4 		okay this tape is being recorded with the receiver plugged into the socket labeled mic . 
_t4 		still got raisins +... 
_t4 		is that a raisin ?
_t4 		are you dancing ? 
_t4 		meow meow meow meow meow .
_t4 		kiss the cat . 
_t4 		meow meow .
_t4 		music isn't gonna +... 
_t4 		oh is the ball stuck ? 
_t4 		is the ball stuck ? 
_t4 		turn that thing on the side (.) honestly I haven't figured out what works myself . 
_t4 		stuck . 
_t4 		isn't that working ? 
_t4 		think she needs +... 
_t4 		get Daddy to help you sweetie . 
_t4 		Daddy will help you . 
_t4 		since you're not speaking . 
_t4 		hey Naima .
_t4 		you can play with that clown . 
_t4 		Naima are you thirsty . 
_t4 		do you wanna drink something ? 
_t4 		d'you [: do you] want some juice ? 
_t4 		baby . 
_t4 		shall we get some juice ? 
_t4 		sounded like you were interested . 
_t4 		yeah mummy's over there .
_t4 		mummy's watching you . 
_t4 		yo . 
_t4 		do we have juice in the bottles (.) the baby bottles ? 
_t4 		no we don't .
_t4 		that's why I was wondering why you were offering  to her . 
_t4 		I could give her a little cherry . 
_t4 		watered down . 
_t4 		no ? 
_t4 		totally . 
_t4 		totally . 
_t4 		well +... 
_t4 		any ideas where there might be more of the +... 
_t4 		various +... 
_t4 		the nipple assemblies ? 
_t4 		yes . 
_t4 		in the bedroom . 
_t4 		okay . 
_t4 		you want some water baby ? 
_t4 		let's have some water . 
_t4 		that good ? 
_t4 		the baby had some water . 
_t4 		my now we're quiet +//. 
_t4 		moo (.) music .
_t4 		it's gonna be expensive . 
_t4 		what does that mean ?
_t4 		talk to them about it .
_t4 		oh of course . 
_t4 		not that we have much +... 
_t4 		it's hot yes that cup was hot . 
_t4 		good morning Naima . 
_t4 		good morning baby . 
_t4 		meow meow meow meow meow . 
_t4 		kiss kiss . 
_t4 		kiss kiss the baby . 
_t4 		kiss kiss the kitty+cat . 
_t4 		kiss kiss the baby . 
_t4 		oh swing the cat by the tail .
_t4 		you've got the cat by the tail (.) swing that cat . 
_t4 		that's not exactly a good thing to be teaching .
_t4 		be seeing  cat this weekend .
_t4 		yes let's read this book . 
_t4 		touch and feel jungle animals . 
_t4 		velvety fur . 
_t4 		are you patting the tiger ? 
_t4 		touch the frog's smooth +... 
_t4 		smooth skin . 
_t4 		tickle the hairy orangutan . 
_t4 		ooh ooh ooh ooh ooh ooh . 
_t4 		that's actually some prosody in this . 
_t4 		snake (.) that's the frog . 
_t4 		xxx the snake ? 
_t4 		that's the frog .
_t4 		I don't think I've heard her say snake before .
_t4 		that's the orangutan .
_t4 		there's the snake .
_t4 		that's a new word for today . 
_t4 		that's the toucan's beak . 
_t4 		that's the snake . 
_t4 		what does a snake say ? 
_t4 		orangutan . 
_t4 		that's the frog . 
_t4 		that's the tiger . 
_t4 		stroke the tiger's velvety fur . 
_t4 		that's fun huh ? 
_t4 		snake ? 
_t4 		oh baby sorry . 
_t4 		here we are again . 
_t4 		we're in the bed .
_t4 		oh that's the microphone are you touching it ? 
_t4 		microphone (.) you touching it ? 
_t4 		there's sleepy the bear . 
_t4 		oh the bear are you gonna put him down .
_t4 		maybe he wants to go to sleep now . 
_t4 		maybe we should put him to bed . 
_t4 		what do you think ? 
_t4 		can you put sleepy to bed ? 
_t4 		sleepy needs a blanket Naima . 
_t4 		he wants a blanket can you put that on him ? 
_t4 		there good . 
_t4 		good job . 
_t4 		yeah now sleepy has a blanket and he's ready to go to bed .
_t4 		you almost ready to go to bed ? 
_t4 		and get comfy ? 
_t4 		microphone  . 
_t4 		sit down .
_t4 		you wanna read some books ? 
_t4 		let's read some books . 
_t4 		here's the penguin book . 
_t4 		you wanna  book ? 
_t4 		where's the book about Michael ? 
_t4 		what's in that book ? 
_t4 		vacuum cleaner . 
_t4 		vacuum cleaner yeah . 
_t4 		camera yeah . 
_t4 		hi (.) camera's on yeah . 
_t4 		where's pipo (.) there he is . 
_t4 		I don't know where the dolly dolly dolly book is . 
_t4 		we have_to look for it . 
_t4 		oh wait I see it . 
_t4 		let's look at that one . 
_t4 		on mother's lap . 
_t4 		I'll bring it over there and we can read it okay ? 
_t4 		that's a nice book . 
_t4 		on mother's lap .
_t4 		Michael +//. 
_t4 		Michael was sitting on his +//. 
_t4 		you don't want me to read this book ? 
_t4 		wanna read that book instead ? 
_t4 		Michael was sitting on his mother's lap . 
_t4 		what d'you [: do you] see in that picture ? 
_t4 		back and forth +//. 
_t4 		back and forth they rocked there's the rocking chair .
_t4 		rocking chair . 
_t4 		let's get dolly . 
_t4 		said Michael . 
_t4 		dolly . 
_t4 		he's standing on a box to reach her . 
_t4 		and his mother's saying +... 
_t4 		come on back here . 
_t4 		here . 
_t4 		yeah . 
_t4 		soon Michael and dolly were on mother's lap . 
_t4 		back and forth back and forth . 
_t4 		they rocked . 
_t4 		boat needs me said Michael I'll bring boat . 
_t4 		he's got the boat on his head . 
_t4 		microphone . 
_t4 		Michael climbed back on mother's lap with boat on one side . 
_t4 		and dolly on the other . 
_t4 		where's dolly Naima ? 
_t4 		where's dolly ? 
_t4 		yes (.) right there she is . 
_t4 		that's Mommy . 
_t4 		that's his Mommy .
_t4 		back and forth back and forth they rocked . 
_t4 		yeah the dog's under the bed in that picture . 
_t4 		and there's a baby . 
_t4 		yes the baby is sleeping . 
_t4 		on the bed . 
_t4 		where's Michael ? 
_t4 		Michael . 
_t4 		where's Michael that's the baby . 
_t4 		what does he have on his head ? 
_t4 		blanket . 
_t4 		what's that ? 
_t4 		that's a little dog +//. 
_t4 		puppy dog +//. 
_t4 		it's not a cat it looks like a cat cause it's so little but it's a puppy (.) it's a baby dog . 
_t4 		carefully Michael tucked his blanket around boat and dolly . 
_t4 		back and forth back and forth they rocked . 
_t4 		are you sleepy too ? 
_t4 		where's the teapot ?
_t4 		teapot . 
_t4 		where's the teapot ? 
_t4 		tea . 
_t4 		yes . 
_t4 		where's the socks ? 
_t4 		you see any socks ? 
_t4 		oh look what's happening . 
_t4 		the baby's waking up .
_t4 		and Michael's kissing the puppy . 
_t4 		puppy wants to come too said Michael . 
_t4 		he's holding the puppy . 
_t4 		we'll read this in a minute let's finish this book first . 
_t4 		oh+my+goodness . 
_t4 		the baby's waking up and saying +... 
_t4 		oh I wanna be over there rocking too . 
_t4 		that baby's gonna be crying in a minute . 
_t4 		Michael and boat and dolly and puppy all cuddled beneath the reindeer blanket on mother's lap . 
_t4 		back and forth back and forth they rocked . 
_t4 		back and forth (.) back and forth they rocked . 
_t4 		I hear baby crying said mother . 
_t4 		yeah just like that . 
_t4 		she'd like to rock too . 
_t4 		there isn't room said Michael . 
_t4 		where's puppy ? 
_t4 		yeah . 
_t4 		that's Mommy . 
_t4 		dolly's under there too . 
_t4 		she's holding the baby now . 
_t4 		and dolly fell down . 
_t4 		and Michael is +... 
_t4 		like this . 
_t4 		Michael has the blanket over his head . 
_t4 		cause Mommy got up to get the baby . 
_t4 		let's see said mother .
_t4 		I think that's Mommy's boots . 
_t4 		boot yeah . 
_t4 		you have boots too . 
_t4 		Michael's wearing boots in this picture look what that dog is doing that dog looks like he's sleeping . 
_t4 		puppy I mean . 
_t4 		Michael and baby both snuggled close to mother boat and dolly and puppy were in Michael's arms the reindeer blanket wrapped around them all back and forth back and forth they rocked . 
_t4 		it feels good said Michael . 
_t4 		where's baby ? 
_t4 		where's the baby ? 
_t4 		yes . 
_t4 		that baby is happy . 
_t4 		that baby's happy . 
_t4 		his mother gave him a +... 
_t4 		squeeze . 
_t4 		squeeze . 
_t4 		funny thing she whispered but there's always room on mother's lap . 
_t4 		squeeze .
_t4 		can you give me a squeeze ? 
_t4 		can you squeeze Mommy ? 
_t4 		I'm gonna squeeze you . 
_t4 		squeeze . 
_t4 		squeeze . 
_t4 		I squeezed your knees . 
_t4 		squeezed your +//.
_t4 		tea ? 
_t4 		did you wanna read one of these other books ?
_t4 		tom and pipo go for a walk ? 
_t4 		d'you [: do you] wanna sit on my lap while we read ? 
_t4 		tom and pipo go for a walk . 
_t4 		Mommy and tom are going for a walk . 
_t4 		Mommy says it's very cold outside . 
_t4 		and tom +... 
_t4 		must wear his hat . 
_t4 		scarf . 
_t4 		and gloves . 
_t4 		pipo wants to come for a walk too . 
_t4 		tom makes him put on his hat and scarf and tells him he'll get cold if he doesn't . 
_t4 		where's pipo ? 
_t4 		what's he doing ? 
_t4 		what's tom doing ? 
_t4 		Mommy holds pipo while tom runs down the hill . 
_t4 		he funs very fast . 
_t4 		what happens here ? 
_t4 		what happens here ? 
_t4 		he was running really fast and then he +... 
_t4 		fell down . 
_t4 		in the mud . 
_t4 		Mommy puts tom into the bathtub . 
_t4 		right away . 
_t4 		and washes pipo in the sink . 
_t4 		yeah the sink . 
_t4 		we have a sink in the bathroom there . 
_t4 		when we brush our teeth we brush our teeth in the sink . 
_t4 		tom's taking a bath . 
_t4 		and pipo the monkey is +... 
_t4 		having a bath in the sink . 
_t4 		and Mommy's washing him . 
_t4 		washy washy washy pipo . 
_t4 		washy washy pipo . 
_t4 		then tom and pipo sit by the fire and have a warm drink . 
_t4 		the end . 
_t4 		the end . 
_t4 		are you upside down ? 
_t4 		what's the matter ? 
_t4 		what ? 
_t4 		you don't wanna put that on ? 
_t4 		I see . 
_t4 		did we decide to take it off ? 
_t4 		okay . 
_t4 		here (.) thank you . 
_t4 		we'll just keep it kinda [: kind of] close to you . 
_t4 		let's see what these penguins are doing . 
_t4 		look at those penguins . 
_t4 		you're bumping . 
_t4 		bump .
_t4 		you bump too hard sometime . 
_t4 		bump . 
_t4 		xxx bumping ? 
_t4 		look that one is .
_t4 		jumping .
_t4 		are you stomping ? 
_t4 		are you stomping with your feet ?
_t4 		where's your soap ? 
_t4 		can you give me the soap +/? 
_t4 		what else in the pen +//?
_t4 		oh .
_t4 		penguins are sliding . 
_t4 		you want me to put it on ? 
_t4 		you want it on ? 
_t4 		let's put it on . 
_t4 		the backpack . 
_t4 		putting on the backpack . 
_t4 		this is the backpack . 
_t4 		there . 
_t4 		there's a big penguin and there's a little penguin . 
_t4 		hey . 
_t4 		wanna go for a ride in the laundry basket ? 
_t4 		we got a piece of laundry here . 
_t4 		you want me to take that out ? 
_t4 		I'm shaking the baby . 
_t4 		I'm shaking the baby . 
_t4 		shake shake shake shake shake . 
_t4 		shake shake shake .
_t4 		thank you . 
_t4 		you're in a boat in the ocean . 
_t4 		oh   . 
_t4 		what're [: what are] you showing me ? 
_t4 		your leg ? 
_t4 		the hole ? 
_t4 		there's a hole in the laundry basket . 
_t4 		there's lots_of holes . 
_t4 		muddy ? 
_t4 		yes holes . 
_t4 		are you in a boat ? 
_t4 		Naima what is your name +//? 
_t4 		what is your name +//? 
_t4 		what's your name +//? 
_t4 		Naima . 
_t4 		can you say Naima ? 
_t4 		there's lots_of holes in the basket . 
_t4 		are you falling ? 
_t4 		falling . 
_t4 		you falling down ? 
_t4 		are you falling down ? 
_t4 		are your toes sticking through the holes ? 
_t4 		it looks like your +//.
_t4 		oh  . 
_t4 		oh (.) a toe . 
_t4 		a toe it's a toe . 
_t4 		oh . 
_t4 		I can tickle you through the holes in the basket . 
_t4 		oh+my+goodness . 
_t4 		I got a toe . 
_t4 		there's another toe and there's another toe . 
_t4 		and there's another toe . 
_t4 		another toe . 
_t4 		oh a toe there and a toe here . 
_t4 		toe here and a toe there . 
_t4 		toes everywhere . 
_t4 		kerplat . 
_t4 		did you say  ? 
_t4 		no ? 
_t4 		kerplunk . 
_t4 		kerplat . 
_t4 		xxx . 
_t4 		oh did something fall down ? 
_t4 		xxx . 
_t4 		let's see +... 
_t4 		would you like some of this ?
_t4 		here's some wheat . 
_t4 		okay let's play that back and see if it's recording some sound . 
_t4 		anything else for breakfast ? 
_t4 		are you sure ? 
_t4 		xxx more avocado for now .
_t4 		till I can figure out what else I can +//.
_t4 		howbout [: how about] if I put yogurt in that ? 
_t4 		where's the yogurt ? 
_t4 		there it is ! 
_t4 		yay for yogurt . 
_t4 		do it yourself ? 
_t4 		okay . 
_t4 		yogurt . 
_t4 		you have the big grown up spoon . 
_t4 		okay that's a big spoonful let's take a break and chew that . 
_t4 		okay +...
_t4 		have a little break and chew that food . 
_t4 		okay you wanna dip this spoon in ? 
_t4 		you know what (.) try putting it in this hand . 
_t4 		like that (.) yeah . 
_t4 		you dipped it you dipped the spoon . 
_t4 		oh are you spitting that up ? 
_t4 		you don't like it that much huh ? 
_t4 		even with the yogurt ? 
_t4 		xxx mess . 
_t4 		want more avocado_a ?
_t4 		today is June +... 
_t4 		twenty+first . 
_t4 		and we +//.
_t4 		whoa . 
_t4 		yeah .
_t4 		whoa I said .
_t4 		fifteen months plus +... 
_t4 		fifteen months plus one week . 
_t4 		and we're having breakfast +//. 
_t4 		absolutely dropped something . 
_t4 		you want more yogurt in this maybe ? 
_t4 		maybe it wasn't sour enough . 
_t4 		mmmm . 
_t4 		is that good ? 
_t4 		stirring the cereal and the yogurt together . 
_t4 		teapot and tea ? 
_t4 		I think you put that book that has the teapot in it +... 
_t4 		down behind the bed where I can't get it . 
_t4 		didn't you ? 
_t4 		that's a big spoonful . 
_t4 		Mommy's gonna adjust your bib a little bit okay ? 
_t4 		biba is not very +...
_t4 		helpful . 
_t4 		stuck (.) what's stuck ? 
_t4 		howbout [: how about] some wheat ? 
_t4 		put some wheat on a spoonful of food can I have the spoon for a second ? 
_t4 		you know what (.) that needs to be sweeter . 
_t4 		let's put more fruit in that . 
_t4 		I bet that's why you don't like it . 
_t4 		more fruit in your cereal ? 
_t4 		more wheat . 
_t4 		there's wheat there . 
_t4 		you want more avocado_a ? 
_t4 		okay let's get that avocado . 
_t4 		and I'll take that . 
_t4 		your hands are gonna get really messy . 
_t4 		what happens when you're messy +//? 
_t4 		the baby in the book is messy isn't she ?
_t4 		you have_to clean your face when you're messy . 
_t4 		that's what happens . 
_t4 		more avocado_a ? 
_t4 		okay . 
_t4 		stuck . 
_t4 		the avocado_a is stuck .
_t4 		really .
_t4 		I'll put some avocado_a on top . 
_t4 		oh nope [: no] (.) nope [: no] ? 
_t4 		you imitating the penguins ? 
_t4 		here's avocado_a right on top of this spoon . 
_t4 		mmmm . 
_t4 		little more wheat perhaps ? 
_t4 		perhaps .
_t4 		okay . 
_t4 		what're [: what are] you eating ? 
_t4 		what are you eating ? 
_t4 		mmmm  . 
_t4 		you want s'more [: some more] wheat ? 
_t4 		xxx some wheat ? 
_t4 		what ?
_t4 		xxx . 
_t4 		mmmm .
_t4 		mmmm is that good now ? 
_t4 		just the right mix ? 
_t4 		oh I have_to (.) okay here's s'more [: some more] pieces I'm gonna [: going to] have_to cut s'more [: some more] up .
_t4 		avocado is good isn't it ? 
_t4 		is it good ? 
_t4 		is it tasty ? 
_t4 		is it delicious ? 
_t4 		d'you [: do you] think the avocado is delicious ? 
_t4 		cut s'more [: some more] (.) okay . 
_t4 		cut s'more [: some more] avocado . 
_t4 		here's another piece already cut up . 
_t4 		crunch crunch crunch . 
_t4 		that rice is crunchy . 
_t4 		more rice (.) okay .
_t4 		here's a spoon that has more rice on it . 
_t4 		yummy . 
_t4 		xxx ate . 
_t4 		odio ? 
_t4 		you mean rice ? 
_t4 		rice .
_t4 		xxx over here . 
_t4 		for the likes of you . 
_t4 		water .
_t4 		there ya [: you] go . 
_t4 		you're eating your  ? 
_t4 		oh spit .
_t4 		done .
_t4 		are you done already ? 
_t4 		have some water . 
_t4 		xxx more water . 
_t4 		that will help . 
_t4 		Mommy's getting some  . 
_t4 		want a little more rice ? 
_t4 		howbout [: how about] s'more [: some more] of this delicious stuff ? 
_t4 		mmmm (.) yogurt . 
_t4 		it's yogurt sweetie . 
_t4 		oh+my+goodness . 
_t4 		you don't want the yogurt . 
_t4 		with the wheat on it ? 
_t4 		no ? 
_t4 		want me put the rice on the spoon ? 
_t4 		there . 
_t4 		more avocado (.) okay . 
_t4 		rice and avocado okay .
_t4 		coming right up . 
_t4 		coming right up . 
_t4 		this is the rice . 
_t4 		and +//. 
_t4 		here's some avocado . 
_t4 		oops .
_t4 		have some water . 
_t4 		have some water if you're coughing . 
_t4 		say ah: for avocado . 
_t4 		you have a mouthful of avocado ? 
_t4 		oh I didn't mean you had to spit it out . 
_t4 		say ah: for avocado . 
_t4 		back to your place+mat with s'more [: some more] . 
_t4 		it's avocado . 
_t4 		oh+my+goodness look at this +... 
_t4 		delicious (.) yogurt with fruit . 
_t4 		and cereal . 
_t4 		no (.) you're done huh ? 
_t4 		you don't want +//. 
_t4 		you just spit out your avocado sweetie . 
_t4 		have another piece .
_t4 		oh you know what that wasn't even plugged in .
_t4 		oh what happened to the kah ? 
_t4 		I had a piece of kah on there . 
_t4 		there's the avocado . 
_t4 		you don't want that avocado . 
_t4 		you sure . 
_t4 		yourself (.) you wanna do it yourself ? 
_t4 		you just want the avocado huh ? 
_t4 		well let's try this again . 
_t4 		toaster . 
_t4 		xxx some toast . 
_t4 		you know what we're gonna do today ? 
_t4 		we're gonna see Daddy at lunch time . 
_t4 		that'll be fun . 
_t4 		and we're gonna do an errand . 
_t4 		that will be fun . 
_t4 		yeah . 
_t4 		and we're gonna play outside . 
_t4 		rock with the rocks (.) would you like to play on the rocks today ? 
_t4 		we can do that . 
_t4 		hi rocks .
_t4 		yeah ? 
_t4 		hi Daddy . 
_t4 		you remember what you did yesterday ? 
_t4 		who did you see yesterday ? 
_t4 		xxx you saw  yesterday . 
_t4 		you played with her at the play+ground . 
_t4 		remember (.) she took you to the play+ground (.) to the park . 
_t4 		and then you said bye bye to her that's right . 
_t4 		park yeah . 
_t4 		we could also go see the sheep today maybe . 
_t4 		what does a sheep say ? 
_t4 		yeah .
_t4 		what does a pig say ? 
_t4 		oink .
_t4 		oh a pig says la la la . 
_t4 		that's funny . 
_t4 		this juice is old . 
_t4 		dirty juice (.) old . 
_t4 		clean ? 
_t4 		yeah clean is the opposite of dirty that's right . 
_t4 		oh Mommy's toast has gotten burned . 
_t4 		ding . 
_t4 		eek I said and the bell went ding . 
_t4 		eek I said . 
_t4 		and then the bell went ding . 
_t4 		yeah I made toast . 
_t4 		you like that huh .
_t4 		howbout [: how about] some plain fruit .
_t4 		this is pears .
_t4 		I thought you liked pear . 
_t4 		it's going to be very nice today I can see the sun outside . 
_t4 		it's a good day to play outside . 
_t4 		was it yesterday that we saw the groundhog ? 
_t4 		d'you [: do you] remember ? 
_t4 		we saw a groundhog ? 
_t4 		groundhog ran away fast . 
_t4 		tea (.)  that's not +...
_t4 		oh that's not cheese that's butter honey . 
_t4 		butter . 
_t4 		you want some cheese ? 
_t4 		would you like some cheese ? 
_t4 		no ? 
_t4 		xxx like cheese doesn't it ?
_t4 		that's your water right there . 
_t4 		what ? 
_t4 		what did you say ? 
_t4 		I'll bet we have some cheese that you could (.)  . 
_t4 		the groundhog yeah . 
_t4 		bye bye he ran away didn't he ? 
_t4 		xxx my name . 
_t4 		xxx  . 
_t4 		Naima . 
_t4 		what's your name ? 
_t4 		no .
_t4 		yeah .
_t4 		what's my name ? 
_t4 		yeah (.) and what's my other name ? 
_t4 		know my other name ? 
_t4 		you said it already . 
_t4 		my name is  . 
_t4 		xxx  . 
_t4 		is the cheese good ? 
_t4 		is that cheese good ? 
_t4 		is it delicious ? 
_t4 		no (.)  I'm sorry . 
_t4 		is it tasty ? 
_t4 		no (.) clearly not okay . 
_t4 		okay . 
_t4 		I think it's good . 
_t4 		that's good cheese . 
_t4 		xxx have some too . 
_t4 		mmmm I'm gonna finish your avocado . 
_t4 		yes .
_t4 		yes .
_t4 		yes . 
_t4 		yes . 
_t4 		that's my name .
_t4 		are you getting sleepy already ? 
_t4 		you haven't been up very long . 
_t4 		let's get you out of the chair . 
_t4 		oh is it time to play ? 
_t4 		okay . 
_t4 		food here . 
_t4 		you have water there . 
_t4 		juice_a ? 
_t4 		bowl . 
_t4 		that's the sink . 
_t4 		it's the sink . 
_t4 		know in the story how +... 
_t4 		when Tom's Mommy washes Pipo in the sink . 
_t4 		remember that ? 
_t4 		this is a sink . 
_t4 		okay (.) would you like some soy milk I see you have your soy milk  . 
_t4 		no and you're not even eating your cheese . 
_t4 		goodness gracious . 
_t4 		me ! 
_t4 		goodness gracious . 
_t4 		goodness gracious . 
_t4 		you want juice is that what you're trying to tell me ? 
_t4 		what is your water are you having trouble drinking it ? 
_t4 		is it too slippery ? 
_t4 		cause your hands are so dirty . 
_t4 		wash it off (.) wash the water . 
_t4 		wash the water . 
_t4 		now  . 
_t4 		that wasn't much breakfast for you ? 
_t4 		xxx avocado . 
_t4 		miss silly+willy avocado . 
_t4 		I'll get the back the water in just a second . 
_t4 		when you're messy like that baby we see in the book +... 
_t4 		you have_to clean your hands . 
_t4 		oh really ? 
_t4 		dirty yeah . 
_t4 		you have avocado between your legs here .
_t4 		on the seat . 
_t4 		oh+my+goodness . 
_t4 		seat . 
_t4 		sucio . 
_t4 		oh Mommy's receiver . 
_t4 		fell down . 
_t4 		yikes . 
_t4 		you want cheese you were spitting that cheese out silly . 
_t4 		yummy cheese . 
_t4 		play play Mommy Mommy . 
_t4 		yikes . 
_t4 		oh okay you wanna get down . 
_t4 		eyebrow ? 
_t4 		elbow . 
_t4 		pajama book . 
_t4 		okay right now this is just a test . 
_t4 		I'm standing close to the camera and Naima is +...
_t4 		four feet away from the camera . 
_t4 		I'm gonna go over here and I'm gonna talk at the same volume . 
_t4 		now I'm about ten feet away . 
_t4 		about three feet away . 
_t4 		talking at the same volume and if you can't hardly hear me it's because my +... 
_t4 		whatcha [: what are you] doin [: doing] baby ? 
_t4 		whatcha [: what are you] doin [: doing] ? 
_t4 		if her transmitter (.) is on +... 
_t4 		you should be able to hear her pushing the buttons on the cd player . 
_t4 		which make a little clicking noise . 
_t4 		I don't think you would hear that if it was only the camera and my mic . 
_t4 		pick more (.) okay pick . 
_t4 		pick .
_t4 		pick . 
_t4 		okay you picked +...
_t4 		now we're gonna walk back toward the camera . 
_t4 		and if things get louder +...
_t4 		that's me she's still over there . 
_t4 		you mean take off that microphone . 
_t4 		I'm gonna just do this test . 
_t4 		it's okay . 
_t4 		
_t4 		let's play .
_t4 		xxx .
_t4 		were we looking at the truck book ? 
_t4 		we were looking at the truck book .
_t4 		okay , this is all new batteries now .
_t4 		everything has new batteries .
_t4 		yep [: yes] everything has new batteries .
_t4 		hey where's the man in the truck ? 
_t4 		what is this , what s(ound) , noise does the truck make when it backs up ? 
_t4 		beep  , that's right . 
_t4 		it makes a beeping noise . 
_t4 		look at that truck ! 
_t4 		look at those big wheels . 
_t4 		today is ,  , Monday , June twenty+fourth . 
_t4 		what's that , what do you have there ? 
_t4 		another trucky . 
_t4 		that trucky has an arm . 
_t4 		that truck has an arm . 
_t4 		this is a dump+truck . 
_t4 		it can carry heavy loads . 
_t4 		where's the man ?
_t4 		do you see the man ? 
_t4 		he's not there , he's not in the truck driving it . 
_t4 		he's the:re . 
_t4 		
_t4 		done ? 
_t4 		xxx .
_t4 		what ? 
_t4 		
_t4 		oh: , that truck is giving some dirt to that truck . 
_t4 		dirt . 
_t4 		play .
_t4 		okay , let's play . 
_t4 		
_t4 		we could make a tower . 
_t4 		let's make a tower . 
_t4 		mmmm , that's a good tower , I like that tower , thank you . 
_t4 		and I'm gonna put this one on that tower too . 
_t4 		two towers . 
_t4 		xxx .
_t4 		yea [: yes] , you know what , you didn't eat very much breakfast .
_t4 		are you hungry ?
_t4 		well let's do a little +//.
_t4 		okay .
_t4 		caught , that's right , I caught it . 
_t4 		play with the train , let's go away from the camera . 
_t4 		xxx .
_t4 		you don't want me to play with the train ?
_t4 		xxx .
_t4 		if my mic is working you should hear me pressing these buttons . 
_t4 		can you , 
_t4 		oh , that was on your hand .
_t4 		
_t4 		and if hers is working , she's pressing buttons now . 
_t4 		you ought_to be able to hear that very clearly . 
_t4 		okay . 
_t4 		let's go back to playing . 
_t4 		let's go back to play(ing) +//. 
_t4 		hey here's the squeaky guy .
_t4 		squeak . 
_t4 		hey , Naima , let's , let's +... 
_t4 		let's look for the groundhog . 
_t4 		let's see where he is . 
_t4 		
_t4 		garden . 
_t4 		I don't see him right no:w . 
_t4 		groundhog .
_t4 		hog . 
_t4 		groundhog . 
_t4 		we saw him the other day and he ran away . 
_t4 		fast .
_t4 		nope [: no] , he's not there . 
_t4 		he's not there . 
_t4 		oh well . 
_t4 		we'll go far away from the camera .
_t4 		if you can hear both of us +... 
_t4 		then we're a+okay . 
_t4 		we're in the other room .
_t4 		that's right , that's Daddy's coffee . 
_t4 		what ? 
_t4 		bunny ? 
_t4 		was there a bunny somewhere ? 
_t4 		oh ,  .
_t4 		xxx , yeah ,  coming later today .
_t4 		she should be here in about half an hour . 
_t4 		do you want to eat some food ?
_t4 		here's some rice .
_t4 		yeah you can play outside with  and the water . 
_t4 		when she gets here . 
_t4 		you're giving me the rice .
_t4 		mmmm , how delicious .
_t4 		that rice got stale fast . 
_t4 		mmmm , you have some . 
_t4 		mmmm . 
_t4 		you . 
_t4 		don't give it all to me . 
_t4 		xxx . 
_t4 		here's some more . 
_t4 		hmmm ? 
_t4 		xxx ? 
_t4 		xxx not gonna come today ? 
_t4 		xxx ? 
_t4 		xxx is  daughter . 
_t4 		they're not going to be here today . 
_t4 		you need some more food , baby . 
_t4 		what ? 
_t4 		hot ? 
_t4 		mmmm , it was on the stove so it might be hot . 
_t4 		stove . 
_t4 		what , stove , I said .
_t4 		stove . 
_t4 		oh , stale , and the odios are stale . 
_t4 		here's some wheat , would you like some ? 
_t4 		mmmm . 
_t4 		mmmm , big mouthful of wheat ,  . 
_t4 		oh+my+goodness . 
_t4 		you have a mouth full of wheat . 
_t4 		wheat is a tad stale too . 
_t4 		hey , what's this , some raisins ? 
_t4 		hey . 
_t4 		what's that ? 
_t4 		it's raisins .
_t4 		mmmm , you like raisins , don't you . 
_t4 		let's have these raisins . 
_t4 		we can both eat them . 
_t4 		hey ! 
_t4 		two raisins ! 
_t4 		mmmm . 
_t4 		mmmm . 
_t4 		mmmm . 
_t4 		xxx . 
_t4 		mmmm  . 
_t4 		would you like to have a regular meal now ? 
_t4 		would you like to have a meal ? 
_t4 		
_t4 		what ? 
_t4 		meal .
_t4 		are you going to have a meal ? 
_t4 		will you eat a meal ?
_t4 		let's have a meal . 
_t4 		raisins ? 
_t4 		more raisins and yogurt ?
_t4 		would you like more yogurt ? 
_t4 		oh more wheat . 
_t4 		okay . 
_t4 		that's a good idea . 
_t4 		are you spitting out the raisins ? 
_t4 		you +//.
_t4 		why don't you give em [: them] to me ?
_t4 		okay . 
_t4 		that was a lot of raisin for you , wasn't it ? 
_t4 		mmmm+hmmm . 
_t4 		
_t4 		no , okay . 
_t4 		let's have a little more food . 
_t4 		oh , here's plums , bananas , and rice ,  . 
_t4 		and wheat . 
_t4 		wheat . 
_t4 		mmmm yummy . 
_t4 		what yummy food . 
_t4 		okay . 
_t4 		what do you want , more rice ?
_t4 		you want water ?
_t4 		or you want to play with water ? 
_t4 		mmmm . 
_t4 		there's soggy wheat on your shirt . 
_t4 		there . 
_t4 		I'll get you some water . 
_t4 		here's a nice little glass of water . 
_t4 		uh+oh . 
_t4 		
_t4 		you were choking on the water .
_t4 		rice . 
_t4 		uh+oh . 
_t4 		
_t4 		you're coughing . 
_t4 		more wheat ? 
_t4 		mmmm . 
_t4 		how bout [: about] wheat on cereal ? 
_t4 		doink I said . 
_t4 		that's the sound of the cereal going on the cereal . 
_t4 		the wheat's [: wheat is] going on the cereal . 
_t4 		doink . 
_t4 		and you have a pit of , bit of wheat on your knuckle . 
_t4 		xxx . 
_t4 		knuckle . 
_t4 		wheat , was the wheat good ? 
_t4 		good job !
_t4 		do you remember who we saw yesterday when we went visiting ? 
_t4 		who did we see yesterday ? 
_t4 		who did we meet for the first time ? 
_t4 		we met  . 
_t4 		
_t4 		xxx . 
_t4 		you met  . 
_t4 		do you remember what we did at her house ? 
