_t4 		Mommy's microphone .
_t4 		more yolk ?
_t4 		soggy Mommy ?
_t4 		soggy Daddy ?
_t4 		I never heard of such a thing .
_t4 		soggy Daddy .
_t4 		silly baby .
_t4 		silly baby .
_t4 		why is Daddy silly ?
_t4 		why is Daddy silly ?
_t4 		silly .
_t4 		xxx .
_t4 		xxx is silly because she wore your hat and her head was too big for your hat .
_t4 		we're gonna have a very exciting day tomorrow .
_t4 		we're going to have a garage sale .
_t4 		garage sale .
_t4 		there's going to be a lot of people here .
_t4 		did you drop that ?
_t4 		yeah .
_t4 		more yolk ?
_t4 		yolk yolk .
_t4 		it's very yolky yolk I think .
_t4 		the yolk is very yolky .
_t4 		it's not yucky it's yolky .
_t4 		it's not yucky it's yolky .
_t4 		yolky .
_t4 		like the yogurt is yogurty .
_t4 		yogurty yogurt .
_t4 		yolky yolk .
_t4 		it's not yucky it's yummy .
_t4 		it's yummy yolk .
_t4 		xxx egg yolk .
_t4 		it's yummy egg yolk .
_t4 		it's not yucky .
_t4 		that yolk is yummy .
_t4 		that's not yucky .
_t4 		it's very yummy .
_t4 		I hear you saying yucky .
_t4 		it's yolky yolk .
_t4 		yeah .
_t4 		it's yolky yolk (.) it's very yolky yolk .
_t4 		uh+oh little too much (.) okay .
_t4 		finish what's in your mouth eat that what's in your mouth .
_t4 		yucky yucky .
_t4 		yolky yolk .
_t4 		the yolk is very yolky .
_t4 		the yolk +//.
_t4 		you want more odio ?
_t4 		I don't have any more soggy ones I'm sorry .
_t4 		yeah ?
_t4 		I don't have any more soggy (.)  Mommy can make s'more [: some more] soggy ones .
_t4 		howbout [: how about] some soggy rice ?
_t4 		want some soggy rice ?
_t4 		rice will get soggy faster +...
_t4 		if we put it in the yogurt .
_t4 		oh here's some +//.
_t4 		soggy (.) soggy doggy .
_t4 		are you a soggy dog ?
_t4 		soggy doggy .
_t4 		xxx so soggy .
_t4 		soggy doggy .
_t4 		soggy odios .
_t4 		soggy baby .
_t4 		you're eating soggy food .
_t4 		soggy +//.
_t4 		soggy rice .
_t4 		soggy rice .
_t4 		hello (.) just a sec(ond) .
_t4 		hi .
_t4 		yeah good hi how are you ?
_t4 		tomorrow .
_t4 		it's tomorrow and the next day .
_t4 		oh no it's okay it's eight to one Saturday .
_t4 		okay .
_t4 		xxx .
_t4 		xxx ?
_t4 		xxx (.) are you eating some soggy food ?
_t4 		xxx .
_t4 		soggy odios ?
_t4 		soggy odios ?
_t4 		played on the slide .
_t4 		wee .
_t4 		xxx lap ?
_t4 		did you poke her belly ?
_t4 		did you poke her belly ?
_t4 		xxx .
_t4 		you know what this is +//.
_t4 		Daddy ?
_t4 		this is soggy rice .
_t4 		you want the soggy rice ?
_t4 		soggy rice .
_t4 		the tall giraffe ?
_t4 		tall giraffe .
_t4 		peacock .
_t4 		the peacock .
_t4 		the tall giraffe .
_t4 		tall giraffe .
_t4 		and the peacock is beautiful .
_t4 		the peacock has beautiful feathers .
_t4 		chicky ?
_t4 		down ?
_t4 		bawk [x 
_t4 		bawk [x 
_t4 		bawk [x 
_t4 		who says that ?
_t4 		take you riding in the car+car .
_t4 		take you riding in the car+car .
_t4 		take you riding in the car+car .
_t4 		I'll take you around in the car+car .
_t4 		ooga  .
_t4 		I'm gonna let you blow the horn I'm gonna let you blow the horn .
_t4 		take you riding in the car .
_t4 		take you riding in the car+car .
_t4 		take you riding in the car+car .
_t4 		take you riding in the car+car I'll take you riding in the car+car .
_t4 		ooga  .
_t4 		I'm gonna let you blow the horn (.) I'm gonna [: going to] let you blow the horn .
_t4 		roll home .
_t4 		I'll take you riding in the car  .
_t4 		ooga  you're getting yogurt on your body .
_t4 		and everything's messy now .
_t4 		you want s'more [: some more] to drink there ?
_t4 		that's the soy milk actually .
_t4 		actually it's soy milk .
_t4 		you want some water instead (.) hold on I'll get you some .
_t4 		Mommy's cleaning up just a little bit .
_t4 		xxx ?
_t4 		yeah we haven't seen  and  for a long time .
_t4 		it's been a long time since we've seen  and  .
_t4 		something (.)  you know what that was ?
_t4 		that was the transmitter .
_t4 		I think we're about finished here anyway .
_t4 		yes I know it fell down .
_t4 		I know it fell down .
_t4 		it's okay actually .
_t4 		okay .
_t4 		yes it fell down I know .
_t4 		xxx milk ?
_t4 		would you rather have water ?
_t4 		you don't want the milk ?
_t4 		no ?
_t4 		I'll put this away for later .
_t4 		yes ?
_t4 		heavy ?
_t4 		is it heavy ?
_t4 		I don't think I'm gonna give you any dirty water .
_t4 		ooh Mommy ?
_t4 		oh baby .
_t4 		xxx ?
_t4 		oh  .
_t4 		oh  .
_t4 		oh Naima .
_t4 		hello baby .
_t4 		hello Daddy .
_t4 		hello Daddy (.) hello Naima .
_t4 		hello  .
_t4 		we saw  yesterday didn't we ?
_t4 		hello Naima .
_t4 		I'm getting you some water now .
_t4 		water to drink .
_t4 		mmmm that's water for you .
_t4 		by request .
_t4 		okay .
_t4 		let's take this off .
_t4 		exactly .
_t4 		yeah the microphone .
_t4 		and we're gonna turn it off .
_t4 		let's stop recording first .
_t4 		that there ?
_t4 		this is mostly a test .
_t4 		a test test on July (.) tenth .
_t4 		now why is that happening ?
_t4 		you need to be picked up right now ?
_t4 		how come ?
_t4 		what's going on ?
_t4 		let's play with that guy .
_t4 		man I mean .
_t4 		shake shake shake .
_t4 		kissing the man +...
_t4 		you like kissing ?
_t4 		here's the frog .
_t4 		ribbit ribbit .
_t4 		ribbit ribbit .
_t4 		did you play with the rake with  today ?
_t4 		shovel .
_t4 		did  and you shovel some rocks today ?
_t4 		is that what happened ?
_t4 		was that fun ?
_t4 		I bet you shoveled a lot of rocks .
_t4 		did you shovel a lot of rocks ?
_t4 		thank you this is the shovel .
_t4 		you have the rake .
_t4 		wanna shovel legos ?
_t4 		blue lego .
_t4 		I have a blue lego .
_t4 		can you give me a yellow lego ?
_t4 		I want a yellow lego are there any yellow ones ?
_t4 		blue one (.) blue (.) blue one .
_t4 		this is a blue one right here .
_t4 		I have a blue one right here .
_t4 		you have a big one there .
_t4 		big lego right there .
_t4 		clown yes d'you [: do you] wanna play with the clown ?
_t4 		here's the clown .
_t4 		hi clown .
_t4 		stepping on the clown ?
_t4 		you're stepping on the clown .
_t4 		what're [: what are] you doing that for ?
_t4 		yes ?
_t4 		d'you [: do you] want me to remove your foot ?
_t4 		poor little clown .
_t4 		riding his horse .
_t4 		there's a bell on that clown's hat .
_t4 		yes ?
_t4 		what shall we play ?
_t4 		play with the blocks  good yes let's play with the blocks .
_t4 		I think I'm gonna put the frog underneath the block .
_t4 		peek+a+boo .
_t4 		peek+a+boo .
_t4 		can you leave that there ?
_t4 		peek+a+boo .
_t4 		what's the man doing ?
_t4 		shall we shake him he makes a little noise .
_t4 		shake shake shake shake shake the man .
_t4 		shake shake shake shake shake the man .
_t4 		do we have anything else that makes noise that we could shake ?
_t4 		oh the mouse .
_t4 		shake shake shake shake shake the mouse .
_t4 		shake shake shake shake shake the mouse .
_t4 		squeak squeak .
_t4 		shake shake shake shake shake the man .
_t4 		shake shake shake shake shake the man .
_t4 		shake shake shake shake shake the lego .
_t4 		shake shake shake shake shake .
_t4 		shake the man (.) shake shake shake shake shake (.)  spin and spin and spin and spin .
_t4 		and spin spinning around .
_t4 		you're a baby who's spinning .
_t4 		we have other things that make nice noises I believe .
_t4 		ladybug where she here she is right here .
_t4 		this is the ladybug .
_t4 		I've never heard you say her name like that before .
_t4 		ladybug is here .
_t4 		hi ladybug (.) ladybug's [: ladybug is] going fast .
_t4 		ladybug's [: ladybug is] going fast and faster and faster and  .
_t4 		she's flying .
_t4 		is there a rock in that cup ?
_t4 		really ?
_t4 		where'd [: where did] you get that ?
_t4 		cuppy [: cup_a] .
_t4 		that's your cup .
_t4 		I think this cup fits inside of that cup .
_t4 		now you have two cups .
_t4 		just ignore that (.) just ignore that .
_t4 		that's okay (.) I've got the mouse squeak squeak  kissing the mouse ?
_t4 		oh thank you for that bridge .
_t4 		I'm gonna put the man under the bridge .
_t4 		the man is lying down under the bridge .
_t4 		he's lying down .
_t4 		and the cup is on top of the bridge .
_t4 		the cup is on top of the bridge pause to check the audio .
_t4 		just a bit of a pause .
_t4 		yummy tummy ?
_t4 		we're eating the raisins .
_t4 		we're eating the raisins .
_t4 		okay I will have_to (.) move the camera in a few minutes .
_t4 		are you eating some delicious raisins right now ?
_t4 		more raisins ?
_t4 		okay .
_t4 		oh this is a box of rice cereal .
_t4 		Mommy's gonna eat something too .
_t4 		hey there's a lego in your chair !
_t4 		little lego in the chair oh+my+goodness .
_t4 		and there's a there's a raisin on your chair !
_t4 		oh+my+goodness .
_t4 		were you sitting on (.) and there's another raisin on your chair (.) oh+my+goodness .
_t4 		how did all these things get on your high+chair ?
_t4 		you must have been sitting on all these things while you were having your snack ?
_t4 		goodness gracious me .
_t4 		yeah that's Mommy's microphone .
_t4 		your microphone has to be put somewhere else right now .
_t4 		you know I have_to get the backpack is what I have_to do .
_t4 		let's get you in here .
_t4 		raisins ?
_t4 		was I was I ?
_t4 		does raisins sound like that where was I sentence from that book ?
_t4 		where was I raisin  I guess it does sound like that was I raisin .
_t4 		was I a raisin ?
_t4 		now let's find that +...
_t4 		little backpack (.) yeah ?
_t4 		I'm coming right back .
_t4 		I'm getting your backpack .
_t4 		yes .
_t4 		yes baby .
_t4 		mmmm this is the backpack .
_t4 		I'm just gonna put your +...
_t4 		that way you won't have_to hold on to it so much .
_t4 		you can let go it's alright .
_t4 		I've got it for you .
_t4 		yes I've got it .
_t4 		it's fine .
_t4 		thank you .
_t4 		okay now +...
_t4 		is this baby ready for some +...
_t4 		snack ?
_t4 		rice is nice wheat is neat .
_t4 		odios are +...
_t4 		that's a little in+joke .
_t4 		okay pause for a little re+plugging in .
_t4 		okay you said you wanted some water .
_t4 		so I'm gonna get you some water .
_t4 		somewhere .
_t4 		let Mommy wash this one out okay ?
_t4 		I'm getting you some water do you need some rice in the meantime ?
_t4 		then I'll get you some real food .
_t4 		oh+my+goodness .
_t4 		yeah ?
_t4 		yes .
_t4 		I'm pouring you the water right now I had to wash the cup .
_t4 		we tried to buy more cups like this in the store today .
_t4 		but they didn't have any .
_t4 		they were out of them .
_t4 		did you spit out the raisin ?
_t4 		and you have another little raisin (.) no that's the microphone .
_t4 		there's the raisin .
_t4 		well let's see what we've got here for the likes of you .
_t4 		there's some spaghetti here .
_t4 		lucky lucky baby .
_t4 		it's little alphabet spaghetti .
_t4 		alphabet spaghetti .
_t4 		and we could have some tofu .
_t4 		okay let's have the spaghetti oh+my+goodness this looks good .
_t4 		this kale is very special because it's from  farm .
_t4 		it's going to be delicious I think .
_t4 		I have_to +//.
_t4 		steam it .
_t4 		we're going to steam the kale .
_t4 		baby baby .
_t4 		is that spaghetti good ?
_t4 		Naima likes spaghetti .
_t4 		and kale .
_t4 		it's a big leaf .
_t4 		it's a big leaf look at how big that leaf is .
_t4 		have you ever seen such a big leaf ?
_t4 		what ?
_t4 		yikes I said .
_t4 		we gotta wash all the leaves before we cook them .
_t4 		oopsy+daisy ?
_t4 		but I didn't drop anything .
_t4 		what ?
_t4 		busy Daddy .
_t4 		Daddy is busy .
_t4 		he is busy he's on call today .
_t4 		busy Naima .
_t4 		that's old water you have the new water right there .
_t4 		you have the new water .
_t4 		okay I'm gonna cook this in the microwave (.) I'm gonna get you s'more [: some more] spaghetti .
_t4 		would you like more spaghetti ?
_t4 		you'd like some cheese ?
_t4 		okay I'll get you some +//.
_t4 		is that exciting ?
_t4 		cheese is exciting .
_t4 		I'll make sure to get you some really exciting cheese here let's see .
_t4 		what do we have ?
_t4 		do we have any exciting cheese ?
_t4 		hmmm I said (.)  .
_t4 		gouda gouda .
_t4 		cheese cheese cheese okay cheese cheese cheese .
_t4 		cheese cheese cheese okay .
_t4 		now let's see +//.
_t4 		tofu still good .
_t4 		I've never heard of such a word .
_t4 		Maxie ducksie ?
_t4 		xxx gave you a kiss yesterday .
_t4 		this is still okay this tofu .
_t4 		would you like some tofu ?
_t4 		with your spaghetti ?
_t4 		and your cheese .
_t4 		I'm getting to the cheese I'm +//.
_t4 		it's taking me too long I know .
_t4 		cheesy cheesy .
_t4 		alright let's see here .
_t4 		you know what that cheese's [: cheese is] a little old I'm gonna [: going to] get you the new cheese .
_t4 		where is the baby cheese ?
_t4 		baby cheese ?
_t4 		oh boy .
_t4 		that kale is gonna be delicious .
_t4 		I never heard of such a thing ?
_t4 		here's the cheese (.) at long last .
_t4 		cheese .
_t4 		yes I cut the cheese .
_t4 		Mommy cut the cheese .
_t4 		okay (.) howbout [: how about] +...
_t4 		if I cut up this kale just a little .
_t4 		okay .
_t4 		yeah ?
_t4 		yes I'm cutting up the kale .
_t4 		would you like some ?
_t4 		spaghetti with tofu and kale ?
_t4 		there's spaghetti in that !
_t4 		howbout [: how about] that ?
_t4 		tofu's [: tofu is] yummy .
_t4 		more tofu okay .
_t4 		you like that huh ?
_t4 		more cheese sure .
_t4 		cheese is good isn't it ?
_t4 		good to eat .
_t4 		okay now there's cheese on that spoon alright ?
_t4 		more cheese you want some plain cheese pieces ?
_t4 		I think you'd like that okay .
_t4 		hey I hear a car guess who that is !
_t4 		guess whose car that is !
_t4 		you know who that is coming home ?
_t4 		Daddy's coming home .
_t4 		he's coming in the door .
_t4 		baby .
_t4 		hi .
_t4 		hi sweetie pie .
_t4 		hello .
_t4 		hi darling .
_t4 		oh I'll be happy to give you water .
_t4 		she has water .
_t4 		cheese she's telling you she's eating cheese .
_t4 		oh cheese .
_t4 		oh is it delicious cheese ?
_t4 		no it isn't ?
_t4 		it looks delicious .
_t4 		I think I'll stop +//.
_t4 		taping for awhile cause [: because] this is a little precarious here .
_t4 		xxx paged me .
_t4 		Daddy has to make a telephone call .
_t4 		emergency room .
_t4 		yes it's doctor  someone's looking for me .
_t4 		sure it's doctor  .
_t4 		one moment please .
_t4 		someone will take your call just as quickly as possible .
_t4 		what're [: what are] you doing are you having some water ?
_t4 		yeah .
_t4 		water (.) and tofu .
_t4 		there's more cheese right here look .
_t4 		piece right here .
_t4 		okay I'll give you s'more [: some more] .
_t4 		yes that's right I do have_to cut it .
_t4 		xxx .
_t4 		fooey .
_t4 		we'll tell that doctor fooey .
_t4 		we'll say fooey you can't talk to Daddy .
_t4 		fooey .
_t4 		fooey .
_t4 		the problem is this .
_t4 		I do not want +...
_t4 		me to trip on it ?
_t4 		yes or me even .
_t4 		I could I guess I could do this later .
_t4 		bye (.) okay let's just have our meal .
_t4 		hi sweetie .
_t4 		you didn't  did you ?
_t4 		I actually did .
_t4 		but (.) okay .
_t4 		let me just stop this now .
_t4 		camera yeah .
_t4 		kiss the camera ?
_t4 		that's very sweet (.) and silly .
_t4 		do you think the camera makes a beeping sound ?
_t4 		sorry about this (.) putting things together while on tape (.) this is July eleventh the next morning from the last session .
_t4 		and we're gonna have some breakfast (.) you said bucket fell down didn't you ?
_t4 		you said bucket fell down .
_t4 		didn't you ?
_t4 		what ?
_t4 		bucket down !
_t4 		bucket down she says .
_t4 		yes ?
_t4 		yes ?
_t4 		okay you can have yogurty yogurt for breakfast .
_t4 		but what else are you going to have ?
_t4 		microphone for the baby yeah .
_t4 		yogurt .
_t4 		yogurty yogurt that's what you're gonna have all right .
_t4 		I'm looking for other things for you to eat .
_t4 		and yogurt you can have both okay ?
_t4 		you like yogurty yogurt the best of all don't you ?
_t4 		oh and there's eggs .
_t4 		well let's see .
_t4 		would you like an egg ?
_t4 		no ?
_t4 		okay we'll have an egg at dinner+time .
_t4 		let's have some yogurt and ricotta .
_t4 		and flax oil .
_t4 		I'm gonna mix it all together okay ?
_t4 		yes yogurt .
_t4 		pieces [?] of [?] yogurt .
_t4 		I need a knife I have_to cut +...
_t4 		the ricotta open .
_t4 		that's not a sharp knife .
_t4 		you know who we're gonna go and see today ?
_t4 		we're going to go and see  today .
_t4 		yep [: yes] .
_t4 		xxx you haven't seen  for months .
_t4 		I don't know when you saw  last .
_t4 		Asha (.) Asha is in the other room .
_t4 		dolly's in the room .
_t4 		that dolly goes in the school+bus .
_t4 		yeah .
_t4 		xxx .
_t4 		she spilled the milk .
_t4 		and she said oopsy+daisy .
_t4 		yeah +...
_t4 		oh I'm sorry I'm taking too long aren't I ?
_t4 		this is gonna be good though (.) once you get it it's gonna be yummy .
_t4 		you're making rhymes ?
_t4 		are you making rhymes ?
_t4 		that's a poem yummy tummy .
_t4 		yummy tummy nummy .
_t4 		that's I'm sure very loud in that microphone .
_t4 		here's the yogurt .
_t4 		and ricotta .
_t4 		self ?
_t4 		would you like more yogurt in that (.) yogurty yogurt ?
_t4 		why don't you give it to Mommy I'll repair that meal .
_t4 		howbout [: how about] some rice ?
_t4 		or wheat you could have wheat or rice .
_t4 		okay .
_t4 		rice and wheat .
_t4 		okay let's see .
_t4 		see Mommy said see let's put lots_of yogurt in there .
_t4 		and maybe some banana I don't think that was sweet at all .
_t4 		there was nothing sweet in there .
_t4 		okay .
_t4 		we have some nana here .
_t4 		banana nana foe fana .
_t4 		me my mana banana .
_t4 		that picture looks terrible .
_t4 		yogurt !
_t4 		yes .
_t4 		yogurt .
_t4 		banana .
_t4 		banana .
_t4 		wheat .
_t4 		and rice .
_t4 		okay now let's get a little plain yogurt in here .
_t4 		mush up the banana .
_t4 		get a little bit of this in .
_t4 		what did Dadaji do ?
_t4 		what did she do to the milk ?
_t4 		oopsy+daisy what did she do to the milk ?
_t4 		what did she do to the milk ?
_t4 		she spilled (.) spilled .
_t4 		she spilled the milk .
_t4 		this is the yogurt (.) this is the yogurt .
_t4 		nope a nope ?
_t4 		are you a penguin ?
_t4 		are you a penguin in a box ?
_t4 		that says nope a nope (.)  yogurty yogurt .
_t4 		is that yogurty yogurt ?
_t4 		you got a hair there ?
_t4 		yeah there was a hair there (.) in your mouth .
_t4 		let's see did you say you wanted wheat ?
_t4 		wheatie (.) wheatie and toasty ?
_t4 		here's some wheat and yogurt .
_t4 		yummy yummy yummy yummy yummy yummy .
_t4 		yes ?
_t4 		more wheat ?
_t4 		you know .
_t4 		I hope this isn't too stale .
_t4 		xxx yes we're gonna see  .
_t4 		we're gonna see  and her Mom named  .
_t4 		her Mommy is  .
_t4 		and who did we see yesterday we saw a lot of people yesterday .
_t4 		in the morning we went to music class .
_t4 		and we saw some babies .
_t4 		we saw (.) we met +...
_t4 		what was her name .
_t4 		xxx .
_t4 		we met  .
_t4 		we met another little boy whose name I don't remember .
_t4 		and  .
_t4 		xxx we met  .
_t4 		and miss  remember miss  ?
_t4 		we sang songs and we played on the drum .
_t4 		and we played the triangle .
_t4 		and they had (.) we had scarves to play with .
_t4 		scarves (.) and eggs that shake shake .
_t4 		remember shake shake eggs ?
_t4 		and we played games .
_t4 		and sang more songs .
_t4 		and it was fun .
_t4 		and then we went shopping .
_t4 		and when we finished shopping we visited  and  .
_t4 		remember that ?
_t4 		we saw  and  yesterday .
_t4 		and then we said bye+bye to them .
_t4 		then we came home right ?
_t4 		and we said hi to  .
_t4 		and you played with  .
_t4 		you played with  yesterday .
_t4 		yeah ?
_t4 		yeah you saw  yesterday .
_t4 		wheat is it good is it okay ?
_t4 		oh good I'm glad .
_t4 		would you like a raisin ?
_t4 		where was I ?
_t4 		raisin I said .
_t4 		it's like where was I .
_t4 		it sounds like where was I .
_t4 		where was I is in that book .
_t4 		and it goes like this (.) on Monday I fell asleep in the wagon (.) when I woke up I saw black seeds .
_t4 		eagle (.) where was I ?
_t4 		in the market .
_t4 		cause [: because] the black seeds belong to the watermelon .
_t4 		right ?
_t4 		and on Wednesday I fell asleep in my +...
_t4 		front carrier .
_t4 		when I woke up I saw an eagle .
_t4 		where was I ?
_t4 		at the post office (.) right ?
_t4 		that's where was I where was I that baby's asking where was I ?
_t4 		in that book but this is a raisin .
_t4 		this is a raisin .
_t4 		yum     .
_t4 		raisins .
_t4 		was I a raisin ?
_t4 		you don't want this anymore ?
_t4 		okay .
_t4 		Dadaji .
_t4 		let's pack up our lunch for lunch+time .
_t4 		pack up the lunch for lunch+time .
_t4 		Mommy's gonna eat her breakfast .
_t4 		xxx that's right we're going to have lunch with  .
_t4 		we are going to have lunch with miss  .
_t4 		our friend +//.
_t4 		xxx .
_t4 		Dadaji Dadaji .
_t4 		no these aren't grapes they're cherries .
_t4 		they're like grapes they're the same shape exactly .
_t4 		broccoli broccoli .
_t4 		would you like s'more [: some more] +//.
_t4 		you want cheese ?
_t4 		there's wheat (.) where is the cheese ?
_t4 		I don't know exactly .
_t4 		I'm gonna wash these .
_t4 		and put them in a little bag .
_t4 		you want some now ?
_t4 		okay you can have some cherries now .
_t4 		I was packing this up for our lunch .
_t4 		and the bag .
_t4 		but we could have some now .
_t4 		mmmm .
_t4 		you said  Mommy .
_t4 		Mommy where's my piece of cherry Mommy ?
_t4 		cherry .
_t4 		it's a cherry .
_t4 		that's kinda [: kind of] big .
_t4 		you're getting a little tahini on that .
_t4 		tahini and cherry  that's funny !
_t4 		Mommy's giving me tahini and cherry ?
_t4 		and wheatie .
_t4 		you have a mouthful don't you okay .
_t4 		okay .
_t4 		yeah .
_t4 		actually this is for putting the jam on my toast .
_t4 		I'm not cutting anything right now (.) I'm putting the jam on my toast .
_t4 		Mommy's having toast with jam .
_t4 		would you like to try a little bit ?
_t4 		would Naima like some toast with jam ?
_t4 		I'll give you a little piece you can see what it's like .
_t4 		that's what Mommy's eating for breakfast .
_t4 		crunch crunch crunch crunchy toast .
_t4 		yeah I'm just washing a couple dishes here .
_t4 		are you eating the toast ?
_t4 		is it good ?
_t4 		oh now I have_to make a big noise .
_t4 		something's down in the garbage disposal .
_t4 		oh dear .
_t4 		oh dear .
_t4 		oh c'mon [: come on] you hardly (.) hardly had any breakfast yet .
_t4 		yes ?
_t4 		oh you want this cup okay .
_t4 		and have some yogurt with that .
_t4 		what (.) washed with the water .
_t4 		I did wash the cup with some water just now that's right .
_t4 		d'you [: do you] want some water to drink ?
_t4 		we're not gonna play with the water right now .
_t4 		Mommy's eating breakfast .
_t4 		want more cherry ?
_t4 		yes I'm cutting a piece of cherry off for you .
_t4 		I'm cutting the cherry .
_t4 		now I'm putting the cherry on the spoon and I'm putting the spoon (.) inside of you . 
_t4 		now let's get you a little w a t e r .
_t4 		no ? 
_t4 		really (.)  !
_t4 		yes it's yogurt .
_t4 		it's yogurt .
_t4 		I'm getting it for you (.) let's have a little more cherry .
_t4 		on this yogurt .
_t4 		I cut another piece of cherry (.) I put it on the spoon .
_t4 		and I give it to the (.) baby .
_t4 		okay now I'm gonna give you your water .
_t4 		we're gonna have an adventure today you know what we're going to do today ?
_t4 		we're gonna go to the library .
_t4 		well we're gonna see  after we go to the library .
_t4 		at the library we're going to see  .
_t4 		and  if he comes .
_t4 		and (.) I don't know who else will be there .
_t4 		maybe baby  will be there .
_t4 		maybe the other  will be there .
_t4 		and  is going to come to our house today .
_t4 		xxx is going to come are there will be a lot of people but we will be gone by then .
_t4 		I hope .
_t4 		the water's big it's too big for the cup !
_t4 		it's very big isn't it ?
_t4 		yes ?
_t4 		it's so big .
_t4 		yes we'll see  today .
_t4 		we'll see her .
_t4 		and we'll see  too .
_t4 		but we're not going to see  today no .
_t4 		and tomorrow you're going to see  .
_t4 		xxx .
_t4 		you'll see her today .
_t4 		shall I cut more cherry for you ?
_t4 		more cherry .
_t4 		xxx we're gonna see  today .
_t4 		did you eat the +//?
_t4 		bye+bye  (.) we're gonna say hello  .
_t4 		did you eat that toast would you like more toast ?
_t4 		toast is nice and sticky .
_t4 		is it soggy ?
_t4 		toast (.) soggy toast .
_t4 		is it soggy toast ?
_t4 		it's soggy because it has jam on it .
_t4 		mmmm+hmmm ?
_t4 		more toast (.) I don't think you ate that +...
_t4 		there's some toast .
_t4 		yummy .
_t4 		more what ?
_t4 		more cherry ?
_t4 		cherry .
_t4 		let's have this with some yogurt shall we ?
_t4 		that's cherry .
_t4 		oh+my+goodness .
_t4 		cherry .
_t4 		more cut ?
_t4 		there's a hair there .
_t4 		you like cherry .
_t4 		you like cherry .
_t4 		there's a hair (.) there was a hair (.)  there is a hair .
_t4 		cherry boat .
_t4 		now Mommy gets to eat a little bit .
_t4 		Mommy's eating toast .
_t4 		what do you mean ?
_t4 		oops .
_t4 		what language is that ?
_t4 		mungi  .
_t4 		mungi  Daddy ?
_t4 		that's funny .
_t4 		crunch would you like more toast ?
_t4 		soggy toast .
_t4 		soggy doggy ?
_t4 		soggy doggy ?
_t4 		who's a soggy doggy ?
_t4 		are you a soggy doggy ?
_t4 		noisy soggy ?
_t4 		I think you're using the word noisy to mean a lot of different things these days .
_t4 		Asha ?
_t4 		in the other room that's right .
_t4 		oops .
_t4 		oops things are falling down all over the place .
_t4 		yes .
_t4 		more what ?
_t4 		it fell down ?
_t4 		it did fall down .
_t4 		Dadaji .
_t4 		what happened ?
_t4 		she spilled milk .
_t4 		oopsy+daisy .
_t4 		would you like more yogurt ?
_t4 		hair ?
_t4 		where was the hair ?
_t4 		on your hand ?
_t4 		is it still there ?
_t4 		I don't see it .
_t4 		oh earlier maybe .
_t4 		xxx .
_t4 		what happened after she spilled the milk ?
_t4 		what happened after she spilled the milk ?
_t4 		what ?
_t4 		what did we do after she spilled the milk ?
_t4 		what did everybody do ?
_t4 		yeah .
_t4 		and then what ?
_t4 		Babaji ?
_t4 		sleepy Dadaji ?
_t4 		I thought everybody cleaned up afterwards .
_t4 		sleepy Dadaji ?
_t4 		was she sleepy (.) was that why she spilled the milk ?
_t4 		sleepy Naima  you're putting your head down (.) sleepy .
_t4 		you pretending to be sleepy ?
_t4 		sleepy Dadaji .
_t4 		sleepy Naima  .
_t4 		are you sleepy you resting ?
_t4 		yeah .
_t4 		banana fana (.) I am eating a banana now .
_t4 		it's too big isn't it ?
_t4 		the cup is big .
_t4 		there's a big cup and a little cup .
_t4 		the water cup is big .
_t4 		too big to fit in the little cup .
_t4 		this is the little cup .
_t4 		this is the big cup .
_t4 		it's too big .
_t4 		you made a tower too .
_t4 		let's try this .
_t4 		tower .
_t4 		the train fell down (.) did you have the train this morning ?
_t4 		I think it was in the bucket (.)  there's the train you're right .
_t4 		here's the train let's wash your hands a little before you get the train .
_t4 		wash .
_t4 		I'm gonna give you the train .
_t4 		can I have your other hand please ?
_t4 		okay your hands aren't very dirty actually .
_t4 		they're almost clean .
_t4 		yeah [: yes ] Mommy's cleaning the tray .
_t4 		is that a big train or a little train .
_t4 		does the train fit in the small cup ?
_t4 		does the train fit in the little cup ?
_t4 		oh   not in the mouth please .
_t4 		we don't eat our trains in this house .
_t4 		yucky .
_t4 		are you a dog ?
_t4 		are you pretending to be a dog ?
_t4 		yeah you can take it out of your mouth yourself I think .
_t4 		it did fall down didn't it ?
_t4 		the train fell down .
_t4 		did it fall down ?
_t4 		think it did .
_t4 		train fell down .
_t4 		it's so big !
_t4 		it's so big .
_t4 		you want some cookie ?
_t4 		cookie mungani mungani .
_t4 		xxx (.) yeah we're gonna see  today .
_t4 		xxx we're gonna see tomorrow .
_t4 		let's put this +...
_t4 		over here .
_t4 		xxx we'll see  today .
_t4 		he's gonna come show the house .
_t4 		now let's find out what's in the garbage disposal .
_t4 		what's in this garbage disposal ?
_t4 		oh+my+goodness it's egg+shells somebody put egg+shells in the garbage disposal .
_t4 		and cherry pits in the garbage disposal .
_t4 		yucky alright we're gonna have_to +...
_t4 		it's very noisy .
_t4 		yeah ?
_t4 		you want me to finish with this ?
_t4 		done .
_t4 		done okay .
_t4 		it's done .
_t4 		I am done with that .
_t4 		that .
_t4 		it was loud .
_t4 		what does that mean lolly lolly ?
_t4 		loud .
_t4 		it was loud wasn't it ?
_t4 		we have_to keep the house very clean .
_t4 		somebody's coming to look at the house .
_t4 		noisy cookie ?
_t4 		oh trucky I'm sorry you said noisy trucky .
_t4 		that's different that makes more sense .
_t4 		blue that's a blue cup isn't it ?
