_d5930 		xxx are you giving me a present ? 
_d5942 		mmmm . 
_d5942 		very tasty . 
_d5942 		uh I'll see if there's more in just a second . 
_d5942 		mmmm .
_d5942 		
_d5942 		wonderful .
_d5942 		excellent .
_d5942 		that tastes magnifique . 
_d5942 		can you say that ? 
_d5942 		have you heard that word before ? 
_d5942 		(be)cause it means wonderful , great . 
_d5942 		fabulous . 
_d5942 		all those words mean the  same thing . 
_d5942 		magnifique . 
_d5942 		exquisite . 
_d5942 		exquisite flavor . 
_d5942 		xxx   . 
_d5942 		what do you say ? 
_d5942 		do you say +/.
_d5942 		what do you say Naima ?
_d5942 		xxx    .
_d5943 		it flew down there . 
_d5943 		yes . 
_d5943 		well the blue+jay might spread the word that we've got bird+seed here . 
_d5943 		he might tell the other birds . 
_d5943 		and then the birds will come . 
_d5943 		different birds maybe . 
_d5943 		he will tell (th)em , ooh go over to that yard . 
_d5943 		that yard has a great bird+seed . 
_d5943 		(be)cause birds like to eat bird+seed . 
_d5943 		yes .
_d5943 		but they can't get up there .
_d5943 		they can't get up into the bird feeder . 
_d5943 		do you know why they can't get up ?
_d5943 		do you see the black thing on the bottom of the bird feeder ? 
_d5943 		is that called a baffle ?
_d5943 		xxx  baffle .
_d5943 		well I don't know . 
_d5943 		I mean I was wondering if that was actually a bear that knocked this one down . 
_d5943 		when I was here last year when you went on vacation . 
_d5943 		the first night you were gone on your vacation (.) and Grandma was staying here alone there was a big big storm . 
_d5943 		a big storm . 
_d5943 		and I heard something knock this thing down .
_d5943 		something was at the window . 
_d5943 		and it knocked it down . 
_d5943 		I didn't +/.
_d5943 		it could have been a bear .
_d5943 		it could have been but your Mommy says no bears on the Cape . 
_d5943 		that's right . 
_d5943 		so it must not +//. 
_d5943 		must have been a raccoon . 
_d5943 		zero  on the Cape . 
_d5943 		what else could it be that would knock down that bird feeder ?
_d5943 		hmmm . 
_d5943 		and I know it wasn't the storm .
_d5943 		xxx . 
_d5943 		I don't +//.
_d5943 		how could a +//.
_d5943 		I don't think a squirrel +/.
_d5943 		a tiger ? 
_d5943 		on Cape Cod ? 
_d5943 		escaped from the zoo ? 
_d5943 		xxx   .
_d5943 		I don't think so . 
_d5943 		well it must +//. 
_d5943 		probably a raccoon . 
_d5943 		(be)cause I can't think of any +/. 
_d5943 		oh tell Grandma  about the raccoon that came +//.
_d5943 		was it last week Naima ? 
_d5943 		I think it was . 
_d5943 		well some time last week . 
_d5943 		what about it ? 
_d5943 		tell tell her  . 
_d5943 		tell me the story .
_d5943 		oh . 
_d5943 		was he trying to get into your garbage ? 
_d5943 		oh no can't do that .
_d5943 		shouldn't do that . 
_d5943 		because raccoons and squirrels might come in .
_d5943 		lemme [: let me] get your fork Naima . 
_d5943 		a fork will help you eat it without getting your fingers messy and hurting your boo+boo . 
_d5943 		it's not too hot . 
_d5943 		kinda [: kind of] cool actually . 
_d5943 		(be)cause the pasta was cold even though the sauce was hot . 
_d5943 		what do you think ? 
_d5943 		xxx .
_d5943 		xxx   . 
_d5943 		xxx the  . 
_d5943 		
_d5943 		I'll put some on then you stir it up with your fork okay ? 
_d5943 		the sauce is pretty hot . 
_d5943 		xxx   . 
_d5943 		that's cheese sauce . 
_d5943 		it's cheese sauce .
_d5943 		cheese is what has the protein . 
_d5943 		it's got cheddar cheese in it . 
_d5943 		don't you need to pull the dish a little closer to you(rself) ? 
_d5943 		there you go . 
_d5943 		I heard a bird but +... 
_d5943 		what bird is that ? 
_d5943 		there's a little milk to drink . 
_d5943 		Naima you only can have the water if you do not put your spoon or your hand or your fingers into it or any food into it . 
_d5943 		it's for drinking only okay ? 
_d5943 		there's a sparrow on the ground . 
_d5943 		hmmm . 
_d5943 		xxx . 
_d5943 		what ?
_d5943 		oh you're right . 
_d5943 		oh there's the cardinal . 
_d5943 		there's the cardinal . 
_d5943 		mmmm it's on the fence+post .
_d5943 		over on the it was over on the fence+post .
_d5943 		it just flew away . 
_d5943 		but now maybe he'll come back . 
_d5943 		maybe he'll come +... 
_d5943 		do you get cardinals on your porch ? 
_d5943 		uh really not too much goes 
_d5943 		xxx  . 
_d5943 		mmmm+hmmm . 
_d5943 		it's so dark and +... 
_d5943 		I mean +/. 
_d5943 		you don't have a feeder though either right ?
_d5943 		no we don't have a feeder . 
_d5943 		boy did some bird flew by . 
_d5943 		I couldn't tell . 
_d5943 		it was too fast . 
_d5943 		how do they get to your feeder ? 
_d5943 		well maybe they spread the word . 
_d5943 		to the other birds I've +//. 
_d5943 		oh there  +//. 
_d5943 		hey there's the cardy . 
_d5943 		I don't think you can see it now but maybe the cardinal will come over . 
_d5943 		xxx . 
_d5943 		they are ? 
_d5943 		really ? 
_d5943 		blue jays probably scare cardinals . 
_d5943 		oh there's a very big bird . 
_d5943 		cardinals just sitting  over there . 
_d5943 		I don't , you can't see it from your angle .
_d5943 		it's in the tree over in the neighbor('s) . 
_d5943 		oh it just flew away . 
_d5943 		it's been around . 
_d5943 		I wonder if they have a nest around . 
_d5943 		well they come very frequently . 
_d5943 		the cardinals do . 
_d5943 		
_d5943 		hmmm . 
_d5943 		any more than one male at a time . 
_d5943 		hmmm . 
_d5943 		yes ? 
_d5943 		what ?
_d5943 		you want tomato sauce ? 
_d5943 		your kind ? 
_d5943 		what kind is your kind ? 
_d5943 		I will get you some . 
_d5943 		yeah . 
_d5943 		xxx  . 
_d5943 		what kind do you like ? 
_d5943 		what's the name of it ? 
_d5943 		is it spaghetti sauce ? 
_d5943 		or is it +... 
_d5943 		just plain tomato sauce . 
_d5943 		is that the right kind ?
_d5943 		it's moldy .
_d5943 		oh . 
_d5943 		xxx .
_d5943 		I'll get some more out of the (.) basement . 
_d5943 		oh we can't eat that . 
_d5943 		it's not good . 
_d5943 		(be)cause it('ll) make you sick .
_d5943 		xxx  you a stomach ache .
_d5943 		it's not fresh .
_d5944 		yeah some fresh (.) tomato sauce . 
_d5944 		this is the kind that you like . 
_d5944 		uh+huh . 
_d5944 		plain tomato sauce . 
_d5944 		plain tomato sauce .
_d5944 		well . 
_d5944 		you want it on plain pasta ? 
_d5944 		I'm sorry you didn't like that . 
_d5944 		did you sleep through all night ?
_d5944 		Naima .
_d5944 		no .
_d5944 		you woke up at three+o+clock and you asked Mommy to nurse . 
_d5944 		xxx  that's so early .
_d5944 		when I said , it's still night+time it's not morning yet , you said , no no it's morning . 
_d5944 		and I said it's not morning . 
_d5944 		do you mind if this is cold or do you want me to heat it up ? 
_d5944 		
_d5944 		you want it cold ? 
_d5944 		both the pasta and (.) sauce cold ? 
_d5944 		hmmm . 
_d5944 		xxx  .
_d5944 		hmmm . 
_d5944 		usually I warm up the pasta and give you cold sauce but we could do the opposite . 
_d5944 		I bet you went right to sleep last night though . 
_d5944 		remember we went to the restaurant . 
_d5944 		for dinner . 
_d5944 		xxx   .
_d5944 		now that one      . 
_d5944 		xxx . 
_d5944 		it's a new restaurant . 
_d5944 		that was a good restaurant . 
_d5944 		and very nice +//. 
_d5944 		nice to look at the walls and the windows . 
_d5944 		and listen to the piano .
_d5944 		it was good food . 
_d5944 		no there's a: chickadee . 
_d5944 		what does a chickadee say ?
_d5944 		what does a chickadee say ? 
_d5944 		oh is that what he  . 
_d5944 		I thought the chickadee said , chickadee  (.) chickadee   .
_d5945 		maybe I can ask Grandma  to grate some cheese for you . 
_d5945 		sure . 
_d5945 		grate it right into this bowl . 
_d5945 		have a plate instead is that  ? 
_d5945 		no .
_d5945 		did you give me those bowls ? 
_d5945 		I think yes you're right . 
_d5945 		I think you did .
_d5945 		xxx  . 
_d5945 		these were from a local +... 
_d5945 		yeah ? 
_d5945 		pottery shop . 
_d5945 		so if you come +... 
_d5945 		in June would that be like a long weekend ? 
_d5945 		um . 
_d5945 		that last weekend of June . 
_d5945 		yes that would probably make it a lo(ng) +//. 
_d5945 		oh there's the cardinal . 
_d5945 		and Bill would come too right ? 
_d5945 		yeah  . 
_d5945 		(o)kay . 
_d5945 		well I'm gonna put it on the calendar so that we don't +...
_d5945 		xxx . 
_d5945 		have any  +/.
_d5945 		the chickadee . 
_d5945 		but there's +//. 
_d5945 		over on the wire is the cardinal and I think it's the Momma cardinal . 
_d5945 		there . 
_d5945 		do you see the cardinal now ? 
_d5945 		over on the fence . 
_d5945 		over on the fence behind your daddy's car . 
_d5945 		right over there . 
_d5945 		can you ? 
_d5945 		oh .
_d5945 		well he flew off . 
_d5945 		he won't go to the +//. 
_d5945 		there's a robin . 
_d5945 		so far I haven't seen him go to the bird feeder . 
_d5945 		I don't know why . 
_d5945 		oh I know why I was confused (be)cause we actually don't come back until that Tuesday . 
_d5945 		we're gonna get here . 
_d5945 		oh . 
_d5945 		we have vaca(tion) +//. 
_d5945 		he +//. 
_d5945 		(be)cause  has that Monday off . 
_d5945 		and then Tuesday is his regular day off . 
_d5945 		hmmm+hmmm . 
_d5945 		so we have full +... 
_d5945 		although we might be back actually earlier . 
_d5945 		this is probably enough for Naima . 
_d5945 		xxx  yep [: yes]   . 
_d5945 		(woul)d you like some cheese ? 
_d5945 		
_d5945 		you wan(na) [: want to] say thanks to Grandma  for grating +/? 
_d5945 		oh there's the cardinals at the feeder now .
_d5945 		for grating it for you ? 
_d5945 		c(an) (y)ou see it ?
_d5945 		xxx 
_d5945 		doesn't stay very long . 
_d5945 		xxx    . 
_d5945 		xxx . 
_d5945 		hmmm . 
_d5945 		is that a goldfinch ? 
_d5945 		little bit too bright to be a robin I think . 
_d5945 		oh wait no you can't see it it's way up in the tree . 
_d5945 		maybe it'll come down . 
_d5945 		where let me see .
_d5945 		yeah .
_d5945 		xxx  . 
_d5945 		they're starting to get the word that there's seed down here . 
_d5945 		where's the  +//.
_d5945 		it was up there in the tree but I can't see it now . 
_d5945 		it's very +... 
_d5945 		oh look there's a cherry tree in bloom right there . 
_d5945 		I didn't notice that before . 
_d5945 		oh that's a cherry not a magnolia ? 
_d5945 		mmmm+hmmm .
_d5945 		yeah . 
_d5945 		magnolias have big big blossoms . 
_d5945 		magnolias up in Providence it's gorgeous . 
_d5945 		mmmm . 
_d5945 		(be)cause it +//. 
_d5945 		there goes the bluejay .
_d5945 		yeah . 
_d5945 		and +... 
_d5945 		and Providence has a lot of (.) red+bud trees which +... 
_d5945 		mmmm+hmmm .
_d5945 		we don't have +/.
_d5945 		oh  .
_d5945 		I think they don't grow well here or something but . 
_d5945 		they're just +//. 
_d5945 		I mean they're kinda [: kind of] like cherry trees except the color is more intense and they're earlier .
_d5945 		and they tend to be these huge trees so no leaves and just +...
_d5945 		a kind of brighter pink .
_d5945 		yeah .
_d5945 		little flowers .
_d5945 		well that's the +//. 
_d5945 		I think I was away part of the weekend at the reunion down in Port Jarvis +...
_d5945 		area .
_d5945 		that's what you're doing then ?
_d5945 		yeah .
_d5945 		you know our reunion . 
_d5945 		yeah I know what you're talking about .
_d5945 		oh .
_d5945 		you made it go away ? 
_d5945 		so other birds could come ? 
_d5945 		oh right . 
_d5945 		it's back again .
_d5945 		xxx   .
_d5945 		is it listening to what you're telling it ? 
_d5945 		no it's not . 
_d5945 		xxx    . 
_d5945 		it's still there .
_d5946 		there's an insect ? 
_d5946 		where ? 
_d5946 		oh near you ? 
_d5946 		oh yeah on the window .
_d5946 		it's an ant . 
_d5946 		no . 
_d5946 		right it's not red . 
_d5946 		the red ant ? 
_d5946 		I mean the re(d) +//.
_d5946 		ant . 
_d5946 		I don't see it anymore . 
_d5946 		oh I don't know .
_d5946 		it might . 
_d5946 		xxx I'll leave the grater out . 
_d5946 		and take this away . 
_d5946 		no . 
_d5946 		it's on the outside . 
_d5946 		it was not inside it was on the outside of the window . 
_d5946 		I don't know . 
_d5946 		we try not to have any ants  in the house . 
_d5946 		there are ants in the bathroom ? 
_d5946 		yeah  . 
_d5946 		Cape Cod +... 
_d5946 		humidity , insects . 
_d5946 		mmmm+hmmm . 
_d5946 		well we get insects in our house too sometimes . 
_d5946 		xxx . 
_d5946 		we get black ants sometimes .
_d5946 		we get spiders a lotta [: lot of]  +//. 
_d5946 		hmmm .
_d5946 		in fact there was a spider in the shower this morning . 
_d5946 		oh ! 
_d5946 		a daddy+long+legs spider . 
_d5946 		in your shower ?
_d5946 		in my shower . 
_d5946 		oh I think that's (be)cause that doesn't get used very much . 
_d5946 		yeah . 
_d5946 		so they set up home there . 
_d5946 		xxx . 
_d5946 		I washed it wash down the drain . 
_d5946 		xxx . 
_d5946 		daddy+long+legs ? 
_d5946 		why do we call it that ? 
_d5946 		because they have very very long legs . 
_d5946 		and I don't know why it's called that . 
_d5946 		you know , I don't think those are actually spiders .
_d5946 		daddy+long+legs . 
_d5946 		oh yeah ?
_d5946 		(be)cause I don't think they have the s(ame) +//. 
_d5946 		there're not enough    . 
_d5946 		ah .
_d5946 		
_d5946 		why was it in ?
_d5946 		well , maybe it was attracted to the water . 
_d5946 		probably (be)cause I turned the shower on . 
_d5946 		and it was in the shower . 
_d5946 		well I think it went down the drain . 
_d5946 		(be)cause it was all wet .
_d5946 		well it couldn't swim . 
_d5946 		xxx  . 
_d5946 		I'm not  I saw any . 
_d5946 		where did I  +... 
_d5946 		take the train when I came with Naima and got picked up by you . 
_d5946 		you came to Brewster . 
_d5946 		oh . 
_d5946 		no I mean (be)cause I +... 
_d5946 		
_d5946 		or did you +//?
_d5946 		oh maybe I'm thinking of where you took me . 
_d5946 		
_d5946 		yeah , right .
_d5946 		you picked me up one place +/. 
_d5946 		I took you to Stamford .
_d5946 		yeah . 
_d5946 		and that was after I'd been in New York ? 
_d5946 		or before . 
_d5946 		xxx let me think now . 
_d5946 		I think that I +/.
_d5946 		you had been to me and then   . 
_d5946 		I think I went from you to New York .
_d5946 		I think that's right . 
_d5946 		yeah . 
_d5946 		and that means that I +... 
_d5946 		you picked me up in S(tamford) +... 
_d5946 		no wait . 
_d5946 		no (be)cause I think +... 
_d5946 		Laura +...
_d5946 		you came from New York up (.) to Brewster . 
_d5946 		but I think  took me to +...
_d5946 		the commuter rail . 
_d5946 		oh . 
_d5946 		from in New York I got on the train to Brewster . 
_d5946 		I'm pretty sure . 
_d5946 		yeah . 
_d5946 		you came up to Brewster . 
_d5946 		and then you picked me up . 
_d5946 		I picked you up but not at +/.
_d5946 		which means that when you picked me up the first time +... 
_d5946 		no wait . 
_d5946 		I +//. 
_d5946 		I rented this car+seat that was there . 
_d5946 		I know .
_d5946 		but +... 
_d5946 		yeah . 
_d5946 		and then I took you to Stamford . 
_d5946 		wait , who lives +...
_d5946 		now I'm confused .
_d5946 		I'm really confused . 
_d5946 		well I do know I picked you up in Brewster . 
_d5946 		you did . 
_d5946 		yeah . 
_d5946 		and then I s(tayed) +//. 
_d5946 		yeah and then I stayed with you and then you took me to the Stamford +... 
_d5946 		right . 
_d5946 		to go home . 
_d5946 		yeah that's what you did . 
_d5946 		mmmm+hmmm I stayed at my house . 
_d5946 		but I'm talking about the time we visited Grandma  at her house when you were a baby . 
_d5946 		we have pictures of that . 
_d5946 		she did stay at our house when you were a baby also but I'm talking about her house now (be)cause we took the train there . 
_d5946 		you were a baby . 
_d5946 		to visit . 
_d5946 		and you actually came to my work . 
_d5946 		you came to my office . 
_d5946 		right . 
_d5946 		who's that ? 
_d5946 		here's the Daddy . 
_d5946 		monster . 
_d5946 		Daddy Monster . 
_d5946 		there's muffins Daddy .
_d5946 		Daddy Monster . 
_d5946 		Daddy Monster Daddy Monster .
_d5947 		yes Baby ? 
_d5947 		oh my go:sh !
_d5947 		daddy+long+legs . 
_d5947 		xxx  for this no I can put it down . 
_d5947 		xxx    . 
_d5947 		xxx   . 
_d5947 		no I was just thinking Mom if I were to do that again +... 
_d5947 		mmmm+hmmm . 
_d5947 		um I would go to Stamford and you would pick me up at Stamford . 
_d5947 		isn't that the closest ? 
_d5947 		yeah .
_d5947 		that is the +/. 
_d5947 		no Stamford is +//.
_d5947 		no Brewster is the closest . 
_d5947 		but you +//. 
_d5947 		no but for me +...
_d5947 		you wouldn't be able to come . 
_d5947 		yeah .
_d5947 		yeah that doesn't make sense .
_d5947 		yeah you'd have +//. 
_d5947 		uh it would be Stamford .
_d5947 		that's what I mean if I were to come from here +... 
_d5947 		yeah Stamford . 
_d5947 		and how far is Stamford from you ? 
_d5947 		it's about an hour . 
_d5947 		depending on traffic . 
_d5947 		time of day . 
_d5947 		yeah .
_d5947 		well I would do that maybe some time . 
_d5947 		mmmm . 
_d5947 		there's the cardinal . 
_d5947 		it's on the  +//. 
_d5947 		on the ground . 
_d5947 		maybe he'll fly up . 
_d5947 		just had the usual (.) presentation of six different meals to her highness . 
_d5947 		it's on the ground .
_d5947 		is any   ? 
_d5947 		huh ? 
_d5947 		is any of it +/. 
_d5947 		this is what's gonna happen .
_d5947 		now it's +... 
_d5947 		and she  +... 
_d5947 		in front of the car .
_d5947 		tried a little fromage . 
_d5947 		um still sort of on the ground .
_d5947 		she didn't really like the muffins .
_d5947 		there's the chickadee .
_d5947 		she had smoked mackerel she didn't really eat that .
_d5947 		she asked me to make macaroni and cheese and I made it from scratch .
_d5947 		shh .
_d5947 		maybe it's +...
_d5947 		did you see it ?
_d5947 		oh my god . 
_d5947 		did you see it ? 
_d5947 		and then   tomato sauce .
_d5947 		it was right there .
_d5947 		flew right by the bird feeder . 
_d5947 		oh .
_d5947 		they keep flying by .
_d5947 		do you want more pasta Boo ?
_d5948 		Grandma  can you grate a little more cheese or is some already there ? 
_d5948 		yep [: yes] .
_d5948 		oh there's more in here . 
_d5948 		this is the last of the pasta . 
_d5948 		when this is gone there's no more and I'm not gonna make more . 
_d5948 		(be)cause I have other things to do today other than make meals for you .
_d5948 		xxx   . 
_d5948 		we're gonna cut your hair . 
_d5948 		yeah we're gonna cut your hair before +/.
_d5948 		and then Grandma has to go . 
_d5948 		Grandma's gonna go home after that .
_d5948 		oh my god .
_d5948 		well I gotta go see Bill . 
_d5948 		and then I gotta go to work tomorrow . 
_d5948 		it's her birthday .
_d5948 		hey happy birthday . 
_d5948 		thank you .
_d5948 		it's her real birthday . 
_d5948 		I forgot to say that . 
_d5948 		(be)cause we've (.) been saying happy birthday all weekend .
_d5948 		yeah .
_d5948 		well tomorrow I have_to go to work . 
_d5948 		today I'm gonna go home and see Bill and we might go out for a ride or we might go out shopping or +//.
_d5948 		and have dinner +... 
_d5948 		or +...
_d5948 		it might be a surprise .
_d5948 		he might have a surprise for me .
_d5948 		I think she's talking about  .
_d5948 		xxx you've had many surprises . 
_d5948 		yeah  gonna have a surprise .
_d5948 		I didn't think their criticism was very trenchant .
_d5948 		but I'd like   .
_d5948 		xxx .
_d5948 		yeah .
_d5948 		I mean it's sort of peripheral things yes but the sort of issues   . 
_d5948 		well I hope it's trenchant (be)cause then it means (.) there's still a book I can write . 
_d5948 		xxx   . 
_d5948 		xxx . 
_d5948 		why ? 
_d5948 		hmmm ? 
_d5948 		why ? 
_d5948 		why what ? 
_d5948 		why that means there's still a book +..? 
_d5948 		well because +... 
_d5948 		if it's trenchant . 
_d5948 		no if there's serious +... 
_d5948 		issues with south+beach that should be corrected then +... 
_d5948 		well it's not +//. 
_d5948 		it's not clear to me that +... 
_d5948 		take your feet off the wall . 
_d5948 		no .
_d5948 		xxx  . 
_d5948 		no . 
_d5948 		Grandma says no . 
_d5948 		Sleepy Bear says no . 
_d5948 		xxx  .
_d5948 		mmmm . 
_d5948 		I'm not even gonna [: going to ] tell you (be)cause you already know . 
_d5948 		I've al(ready) +//.
_d5948 		I've told you all the things that aren't allowed . 
_d5948 		there's some more pear if you want . 
_d5948 		you're Claire this morning ? 
_d5948 		who are you gonna be this afternoon ?
_d5948 		you're still gonna be Claire this afternoon ?
_d5948 		xxx    . 
_d5948 		yes I have_to go this morning . 
_d5948 		she's gonna be gone before the morning even . 
_d5948 		mmmm+hmmm .
_d5948 		mmmm I like the muffin . 
_d5948 		that cheese sauce is pretty nice . 
_d5948 		mmmm . 
_d5948 		I like the muffin . 
_d5948 		stay asleep ? 
_d5948 		not tonight no . 
_d5948 		xxx  .
_d5948 		wait stay here and sleep ? 
_d5948 		she's gonna go bye+bye . 
_d5948 		but I'm gonna +//. 
_d5948 		I'm planning another sleep+over next month . 
_d5948 		xxx   .
_d5948 		I'm gonna come and visit you next month again . 
_d5948 		xxx   .
_d5948 		and have another sleep+over .
_d5948 		I like to see you . 
_d5948 		I like to visit you . 
_d5948 		it was good to see +... 
_d5948 		yep [: yes] . 
_d5948 		do you like me to come and visit you ? 
_d5948 		so have you     ? 
_d5948 		we have fun don't we . 
_d5948 		xxx    .
_d5948 		alright . 
_d5948 		mmmm .
_d5948 		what was that    ? 
_d5948 		uh  . 
_d5948 		gotta +... 
_d5948 		look for times . 
_d5948 		and see if it was just an afternoon or whether it was some kind of stay .
_d5948 		what ?
_d5948 		there's a kids day part of   .
_d5948 		there's a what ?
_d5948 		there's a colorful +... 
_d5948 		a flower .
_d5948 		xxx   .
_d5948 		it's a it's a new name of a flower that Naima made up .
_d5948 		oh .
_d5948 		which we like .
_d5948 		we like that .
_d5948 		yeah .
_d5948 		that is a nice name .
_d5948 		delphadinia .
_d5948 		delphadinia .
_d5948 		it's very specific . 
_d5948 		what color is that flower ? 
_d5948 		ooh , mu(lti) +/. 
