_t4 		oh there's that siren noise . 
_t4 		that's a stethoscope . 
_t4 		it's at five , which means I gotta leave at four+thirty , which means I have_to reschedule some of the patients , which means I'll move it to the lunch hour .
_t4 		Daddy's gonna wear it . 
_t4 		at the hospital again , yeah . 
_t4 		&aw baby , I love you so much . 
_t4 		xxx I'm serious about coming with you to the talk , who are you +...
_t4 		xxx council on aging .
_t4 		is it open to the public , or no ?
_t4 		it doesn't matter .
_t4 		we can at least , you can be with her in the car , I mean +...
_t4 		otherwise you're gonna have a  +//.
_t4 		a night like tonight .
_t4 		you having a seat ? 
_t4 		so let's try to talk about it .
_t4 		you have_to leave at what time , four+thirty ? 
_t4 		probably around four+thirty ,  .
_t4 		we could all go in one car , we'll pick you up from there .
_t4 		I mean +... 
_t4 		it's an idea , yeah .
_t4 		whatcha [: what do you] need ? 
_t4 		I mean if she's  , that might be an ideal time for her to +...
_t4 		for her to sleep , it actually is , yeah . 
_t4 		yeah ? 
_t4 		where did Daddy go ? 
_t4 		yeah , where do you think he's going ? 
_t4 		to the hospital again . 
_t4 		there he is . 
_t4 		like a what , like a musketeer ? 
_t4 		he's dressed up like a musketeer . 
_t4 		yes , yeah . 
_t4 		it's fun to get dressed up +//.
_t4 		we're gonna dress up like bees . 
_t4 		we're gonna dress up like bees . 
_t4 		he did take pictures of us , all dressed like bees . 
_t4 		Mommy , Grandma , great+grandma , and Naima . 
_t4 		he took pictures of all of us dressed up in our bee costumes . 
_t4 		bzzzz . 
_t4 		okay . 
_t4 		let's find the witch . 
_t4 		you having a seat +//?
_t4 		there's a witch . 
_t4 		she has a wand . 
_t4 		see that wand , with a star at the end ? 
_t4 		that's a wand . 
_t4 		and she has a big , tall hat . 
_t4 		where , which one ? 
_t4 		there's nothing to read here , these are just pictures . 
_t4 		that baby's dressed up like a pumpkin . 
_t4 		that baby's dressed up like a cat . 
_t4 		that's just a kid all dressed in black clothes . 
_t4 		I don't know what his name is . 
_t4 		let's look at some other books . 
_t4 		I'm tired of that one . 
_t4 		how about this one ? 
_t4 		or this one ? 
_t4 		okay , let's read it . 
_t4 		let's read it , you wanna sit down ? 
_t4 		have a seat . 
_t4 		have a seat . 
_t4 		yeah , we both have microphones .
_t4 		let's look at these pictures . 
_t4 		what's the name of this book ? 
_t4 		yeah , but they're all pictures about nursing . 
_t4 		yes , the book is called we like to nurse . 
_t4 		baby monkeys . 
_t4 		just like human babies , in Mommy's arms . 
_t4 		you know this book , don't you ? 
_t4 		I think you've read this book before . 
_t4 		do you wanna sit in my lap ? 
_t4 		is that +//?
_t4 		do you see it ? 
_t4 		right there . 
_t4 		the baby monkey's hugging the mommy . 
_t4 		yes_c , well they're nursing . 
_t4 		yeah , the page is broken .
_t4 		it's torn . 
_t4 		baby elephant nurses through her mouth while her trunk hugs mommy . 
_t4 		hi , mommy elephant . 
_t4 		what's this ? 
_t4 		yes !
_t4 		yes !
_t4 		how many baby leopards are nursing in this picture ? 
_t4 		yeah .
_t4 		mommy spots and baby spots blend together to protect nursing leopards . 
_t4 		what's this ? 
_t4 		yeah . 
_t4 		how many baby giraffes are there here ? 
_t4 		there's one . 
_t4 		one baby giraffe . 
_t4 		one +//.
_t4 		mama giraffe shelters her baby on a hot plains while they nurse . 
_t4 		she's a tall animal . 
_t4 		that's a big animal . 
_t4 		they do have grass . 
_t4 		and +...
_t4 		mmmm+hmmm . 
_t4 		yes , they probably do eat the grass . 
_t4 		and they have a tree here too . 
_t4 		that's white , what is that ? 
_t4 		do you know what that is ? 
_t4 		well this is a cloud , in the sky . 
_t4 		cloud . 
_t4 		that's a green mountain . 
_t4 		and what's the animal called ? 
_t4 		yeah , baby llama nurses in the cool mountain +... 
_t4 		what ? 
_t4 		skip it for you ? 
_t4 		yeah , they're nursing in the bamboo . 
_t4 		mama and baby panda cuddle and nur(se) +//.
_t4 		cuddle and nurse under the bamboo . 
_t4 		mmmm+hmmm . 
_t4 		how many zebras are there ? 
_t4 		well , there's one baby zebra , and there's one mommy zebra . 
_t4 		chichichichichichi , mommy's eating grass while she's nursing +//.
_t4 		do I eat sometimes when we nurse ? 
_t4 		that's a what ? 
_t4 		yes , that's a calf . 
_t4 		right , the more she drinks , the more mommy makes . 
_t4 		baby calf drinks delicious milk from her mommy . 
_t4 		yeah , she drinks milk . 
_t4 		piglets wag their tail +... 
_t4 		piglets wag their tails in delight ! 
_t4 		as they curl up to mommy for +... 
_t4 		lunch . 
_t4 		nursies lunch .
_t4 		that's the mommy one , yes_c . 
_t4 		and she has one , two , three puppies . 
_t4 		they are pushing , mmmm+hmmm . 
_t4 		they have some flowers too , see that ? 
_t4 		yellow ones . 
_t4 		uh , those look like daffodils . 
_t4 		those flowers . 
_t4 		twin lambs nurse on either side of mama . 
_t4 		purr , purr , purr . 
_t4 		a newborn +//.
_t4 		what's that ? 
_t4 		colt , right . 
_t4 		what is it ? 
_t4 		yeah , nurses with mommy at sunset . 
_t4 		well , this page isn't broken , it's the same color as the page that's broken in the beginning of the book . 
_t4 		and who's +//?
_t4 		what kind of animal is that ? 
_t4 		that's a mommy , and a +... 
_t4 		yeah .
_t4 		they have a light . 
_t4 		that's right . 
_t4 		they have a house , mmmm+hmmm .
_t4 		oh , did they turn it on ? 
_t4 		yes , again , there's that picture again . 
_t4 		hmmm . 
_t4 		they do have a light , it's a lamp . 
_t4 		do you wanna help fold some laundry ? 
_t4 		or sort some laundry over here ? 
_t4 		you wanna put it back , okay . 
_t4 		why dontcha [: don't you] put it on that shelf there . 
_t4 		Mommy's gonna put away a few pieces of laundry , do you wanna help ? 
_t4 		I don't know if this +//.
_t4 		this is dirty laundry , I think . 
_t4 		what's this doing in the clean laundry ,  dear . 
_t4 		are you putting on my +... 
_t4 		night+gown , Naima ? 
_t4 		that's a crown ? 
_t4 		that's a crown ? 
_t4 		what ?
_t4 		you're putting it on ? 
_t4 		you're running around ? 
_t4 		you do look like you're running around , wearing that crown .
_t4 		are you being Max , the wild thing ? 
_t4 		oh+wee+oh . 
_t4 		what is Naima +...
_t4 		you're wearing Mommy's night+gown . 
_t4 		and calling it a crown . 
_t4 		oh my gosh . 
_t4 		that is so silly . 
_t4 		that's a crown ? 
_t4 		oh , you're making that for Halloween , is that your costume ? 
_t4 		oh my gosh ! 
_t4 		oh my gosh +//.
_t4 		oh , there she is . 
_t4 		here , you can wear this like a crown , look at that . 
_t4 		hey , that's a crown ! 
_t4 		you want me to help ya [: you] put it on ? 
_t4 		you gonna wear that for Halloween , here . 
_t4 		okay .
_t4 		you might need a little help putting that on . 
_t4 		oh , good job , there . 
_t4 		hey , now it's a necklace . 
_t4 		xxx . 
_t4 		he wasn't nursing , was he ? 
_t4 		he was getting cozy with his mommy . 
_t4 		where did we see  ? 
_t4 		yeah , in the group . 
_t4 		yeah , let's make it into a crown again . 
_t4 		there . 
_t4 		xxx . 
_t4 		that's a crown , you look like a king . 
_t4 		you look like a king , Naima .
_t4 		where do you think he went ? 
_t4 		what ? 
_t4 		well yeah , but then where did he go ? 
_t4 		and he got into his car , and he went to the hospital . 
_t4 		you're playing with your bus ? 
_t4 		today is  , October twenty+fourth , Thursday . 
_t4 		and +... 
_t4 		here she comes . 
_t4 		Naima is nineteen months old . 
_t4 		ten days ago she turned nineteen months old , and +... 
_t4 		okay . 
_t4 		and this morning you said +... 
_t4 		I will put it there , you used I and you meant Naima . 
_t4 		that's really the +//.
_t4 		pretty much the first time I heard that . 
_t4 		and you say +... 
_t4 		her , and his , and their +... 
_t4 		and them , and she , and he , and it , you say all of those things . 
_t4 		and that's +... 
_t4 		just been developing over the past two weeks . 
_t4 		you see them , yeah . 
_t4 		and  +... 
_t4 		yeah ? 
_t4 		you're putting it over there for Mommy ? 
_t4 		thank you . 
_t4 		oh , Lucille is riding in there , huh ? 
_t4 		okay . 
_t4 		there , I closed it . 
_t4 		did you bring her inside , or is she still in the car ? 
_t4 		what , bring her inside again ? 
_t4 		well when we go to the car , we'll look for Asha too . 
_t4 		are you sure Asha wasn't in the kitchen , though ? 
_t4 		I thought I saw her in the kitchen . 
_t4 		who's falling down ? 
_t4 		did she fall down ? 
_t4 		Asha gasha ? 
_t4 		that's a new rhyme +//. 
_t4 		are you rhyming ? 
_t4 		are you making rhymes ? 
_t4 		what ? 
_t4 		there is a dress in there +//.
_t4 		were you gonna say making a rhyme ? 
_t4 		hey , who did we see in the play+ground the other day +//?
_t4 		Lauren ? 
_t4 		a baby whose name is Lauren , she's your age . 
_t4 		that's a crown ? 
_t4 		that's a red crown ? 
_t4 		what else is in the basket there ? 
_t4 		pajamas . 
_t4 		blue ones . 
_t4 		that's a crown ? 
_t4 		are you the king of wild things ? 
_t4 		are you the king of wild things ? 
_t4 		where did Naima go +//? 
_t4 		oh , she must have gone to the tire store to fix our tire . 
_t4 		is that where she went ? 
_t4 		where did Naima go ? 
_t4 		oh , she must have gone to the +... 
_t4 		aquarium to look at the fishes . 
_t4 		there she is ! 
_t4 		where did +//?
_t4 		you gotta hide yourself when you say that . 
_t4 		where did Naima go ? 
_t4 		hmmm . 
_t4 		she must have gone to the store to buy baby yogurt . 
_t4 		there you are ! 
_t4 		where did Naima go ? 
_t4 		oh no , she must have gone to the wa(shing)  +...
_t4 		washing machine to do some laundry . 
_t4 		oh , there you are ! 
_t4 		where did Naima go ? 
_t4 		she must have gone to the store to buy sheets for baby  . 
_t4 		there you are ! 
_t4 		where did Naima go ? 
_t4 		where did Naima go +//? 
_t4 		she must have gone to the +...
_t4 		merry+go+round to ride on the horse with the funny hat . 
_t4 		you felt it . 
_t4 		yeah , you felt it when you were riding on it , you reached up and you patted the hat . 
_t4 		it was fuzzy , wasn't it ? 
_t4 		where did Naima go ? 
_t4 		she must have gone to the children's museum to play in the boat . 
_t4 		there she is ! 
_t4 		where did Naima go ? 
_t4 		hmmm , she must have gone to the +...
_t4 		play+ground to swing on swings . 
_t4 		there you are ! 
_t4 		she must have gone into the bathroom to sit on her potty . 
_t4 		where'd [: where did] she go ? 
_t4 		there she is . 
_t4 		where did Naima go ? 
_t4 		she must have gone to the post+office to put the mail in the slot .
_t4 		there you are ! 
_t4 		I don't know , where did Naima go ? 
_t4 		oh my gosh .
_t4 		she must have gone to the old house +...
_t4 		to rake some leaves . 
_t4 		oh , there she is !
_t4 		where did Naima go ? 
_t4 		did she go outside to find acorns ? 
_t4 		there she is !
_t4 		where did Naima go , I don't know , where did she go ? 
_t4 		there she is !
_t4 		where did Naima go +//?
_t4 		there she is !
_t4 		she must have gone to the hospital , to the cafeteria , to eat some cheese with Daddy at lunchtime . 
_t4 		there she is !
_t4 		where did Naima go ? 
_t4 		she must have gone to the kitchen to sort containers for Mommy . 
_t4 		there she is ! 
_t4 		where did Naima go ? 
_t4 		she must have gone down to the mailbox to check for mail . 
_t4 		there you are ! 
_t4 		you're wearing pajamas actually . 
_t4 		can you give those clean pajamas to Mommy please ? 
_t4 		thank you , I'm gonna fold them . 
_t4 		you gonna fold that +//?
_t4 		those things ? 
_t4 		well you can fold it actually . 
_t4 		I think somebody was eating avocado in these pajamas . 
_t4 		there's green marks on it . 
_t4 		see ? 
_t4 		well , green marks . 
_t4 		mmmm+hmmm .
_t4 		those wash+cloths ? 
_t4 		giving them to me ?
_t4 		thank you . 
_t4 		maybe we'll resume this a little later . 
_t4 		yeah , thirty+five minutes , okay . 
_t4 		that's a bunny rabbit costume +//. 
_t4 		let's see . 
_t4 		yeah ! 
_t4 		xxx . 
_t4 		let's see . 
_t4 		klick klack moos is on the floor here . 
_t4 		well I was about to put away this laundry . 
_t4 		do you wanna look at that +...
_t4 		book while I'm putting away the laundry ? 
_t4 		what ? 
_t4 		all those kids are driving that little truck .
_t4 		yeah . 
_t4 		is that funny ? 
_t4 		what do you see ? 
_t4 		what are you looking at ? 
_t4 		what is that ?
_t4 		oh , those are toys . 
_t4 		are there any kids playing with those , in that magazine ? 
_t4 		what's that ? 
_t4 		what do you think that is ? 
_t4 		it looks like a little pretend kitchen . 
_t4 		you like that idea ? 
_t4 		what else is there ? 
_t4 		the baby hershey kiss ? 
_t4 		okay . 
_t4 		let's see , the baby hershey kiss is +... 
_t4 		not there . 
_t4 		not there . 
_t4 		not there . 
_t4 		not there . 
_t4 		there . 
_t4 		a mommy one ? 
_t4 		is there a mommy hershey kiss costume ? 
_t4 		mmmm , really ? 
_t4 		xxx .
_t4 		I only see children in that magazine . 
_t4 		I don't see any costumes for mommies . 
_t4 		for  , Mommy ? 
_t4 		oh , you're right , I actually +//.
_t4 		I do have a costume . 
_t4 		some mommies +... 
_t4 		and daddies +...
_t4 		yes , it's a bee . 
_t4 		some mommies and daddies do get dressed up for Halloween . 
_t4 		if they want to . 
_t4 		and they drink something very delicious , what do they drink ? 
_t4 		nectar . 
_t4 		find the lion ? 
_t4 		yeah , that's a bee . 
_t4 		you found a witch costume in that magazine ? 
_t4 		let's see . 
_t4 		yes , that is a witch .
_t4 		xxx . 
_t4 		what ? 
_t4 		do you see a musketeer ? 
_t4 		that's the musketeer , all+right . 
_t4 		what ? 
_t4 		what , which one ? 
_t4 		hershey's kiss . 
_t4 		that's a hershey's kiss costume . 
_t4 		and it's very very cute . 
_t4 		it is very cute . 
_t4 		what ?
_t4 		find what ? 
_t4 		oh , pictures of toys ? 
_t4 		hmmm , here's some children painting . 
_t4 		see ? 
_t4 		those children are painting . 
_t4 		with paint , you know how to paint with paint now , don't you ? 
_t4 		xxx . 
_t4 		a naked lizard . 
_t4 		I think we should get you a naked lizard like we saw at the store so you can paint that . 
_t4 		that looks like fun . 
_t4 		that looks like that +//.
_t4 		there's another person in that picture . 
_t4 		is she painting also ? 
_t4 		on top there's a little girl , what does she have , a bucket ? 
_t4 		hmmm .
_t4 		is there +//?
_t4 		there she is ! 
_t4 		does she have a bucket ? 
_t4 		what's in her bucket ? 
_t4 		well I'm wondering if she has paints or crayons in it . 
_t4 		I don't see it too well , let's see , what does she have ? 
_t4 		she has +...
_t4 		paint . 
_t4 		mmmm . 
_t4 		what's that little girl doing ? 
_t4 		what's that doing there ? 
_t4 		why dontcha [: don't you] put it down , right in the book .
_t4 		just put it right there , that'll [: that will] be fine . 
_t4 		right in the +//.
_t4 		I meant the magazine . 
_t4 		I meant in the magazine .
_t4 		oh , those kids are playing with hoops ? 
_t4 		yeah . 
_t4 		those are nice tunnels . 
_t4 		you have a tunnel . 
_t4 		and the library has a tunnel also . 
_t4 		and that kid +//.
_t4 		I see a kid on a mat . 
_t4 		see the mat ? 
_t4 		the kid is lying down on a mat +//.
_t4 		hopping . 
_t4 		eating seeds , yeah . 
_t4 		there's another one ! 
_t4 		yeah . 
_t4 		yup [: yes] , and flying away . 
_t4 		eating quickly . 
_t4 		and then flying away . 
_t4 		you saw a cardinal bird ? 
_t4 		mmmm , I didn't see it . 
_t4 		is it down there ? 
_t4 		hmmm . 
_t4 		mmmm+hmmm .
_t4 		the mat is this thing right here . 
_t4 		that child is falling on the mat , on purpose . 
_t4 		xxx . 
_t4 		sing bingo ? 
_t4 		there was a +... 
_t4 		had a +... 
_t4 		and bingo was her +... 
_t4 		b , i +... 
_t4 		b , i +... 
_t4 		b , i +... 
_t4 		and bingo was her name+o . 
_t4 		there +... 
_t4 		was a farmer +... 
_t4 		had a cat +... 
_t4 		meow . 
_t4 		zingo ? 
_t4 		z , i +... 
_t4 		n , g , o .
_t4 		xxx . 
_t4 		z , i , n , g , o . 
_t4 		just turn the page and you'll see some more toys .
_t4 		yes , that is a musketeer . 
_t4 		dressed up for Halloween , that's right that child is dressed up like a musketeer for Halloween . 
_t4 		that is a witch . 
_t4 		did you know that witches fly ? 
_t4 		yes , they do . 
_t4 		you can turn the page . 
_t4 		those children are playing with paint .
_t4 		xxx . 
_t4 		we will have_to find you a naked lizard to put paint on , I'm convinced that we will be able to do that . 
_t4 		that was a na(ked) +//.
_t4 		and we saw a painted one too , didn't we , at the store . 
_t4 		we saw a naked one . 
_t4 		and a painted one . 
_t4 		two lizards . 
_t4 		a woman showed us . 
_t4 		we saw the painted one on the counter when we were buying your fingerpaint . 
_t4 		and Naima said +//. 
_t4 		name , name . 
_t4 		and then Mommy said , you should ask the woman what kind of animal it is , (be)cause I didn't know . 
_t4 		and then +...
_t4 		and then the woman said it's a lizard , and then she took the naked lizard out from behind the counter and showed it to us ! 
_t4 		and we laughed . 
_t4 		she said , naked lizard , here's the naked lizard . 
_t4 		and we said ,      . 
_t4 		does the witch have a wand +//?
_t4 		yes , she does have a wand . 
_t4 		what do you think a tiger says ? 
_t4 		yeah , that's right . 
_t4 		you're gonna have fun on Halloween . 
_t4 		where is the star ? 
_t4 		the star is on the wand , isn't it ? 
_t4 		mmmm , you see a witch ? 
_t4 		that ,  that's a superhero . 
_t4 		I would say that's a superhero . 
_t4 		superhero . 
_t4 		just turn the page , there will be some toys . 
_t4 		I'm gonna leave this room now , okay ? 
_t4 		wanna come with me ? 
_t4 		we need to get ready to go to the post+office . 
_t4 		we're going to go to the post+office today . 
_t4 		and then we're going to go see Daddy . 
_t4 		well , we're gonna pick him up . 
_t4 		what are you looking at now ?
_t4 		that is another superhero . 
_t4 		superhero . 
_t4 		superhero . 
_t4 		it's called a superhero . 
_t4 		superhero . 
_t4 		are these Daddy's socks or Mommy's socks ? 
_t4 		Daddy's . 
_t4 		those are Daddy's , those are Daddy's . 
_t4 		mmmm+hmmm . 
_t4 		there's the musketeer , right there . 
_t4 		you gonna sit and read here +... 
_t4 		oh , yeah .
_t4 		what's in that picture ? 
_t4 		here , come sit over here . 
_t4 		sit on the big pillow . 
_t4 		what do you see in that picture ? 
_t4 		are there any animals in that picture ? 
_t4 		might be a wambat . 
_t4 		let me come see what you're pointing at . 
_t4 		hold on . 
_t4 		I have_to be there to see it . 
_t4 		k [: okay] , I'm coming to see . 
_t4 		that instrument ? 
_t4 		you were saying dijeridoo this morning . 
_t4 		who's playing the dijeridoo in that picture ? 
_t4 		a kangaroo , is that silly or what ? 
_t4 		it's very silly . 
_t4 		you really like that musketeer , don't you ? 
_t4 		here's the pajama book , and Mommy's toddlers book . 
_t4 		let me see , who's climbing on the tree . 
_t4 		in that picture ? 
_t4 		you know what that is . 
_t4 		what's that animal ?
_t4 		it's a koala . 
_t4 		yeah . 
_t4 		sitting in a +...
_t4 		in the sun , yeah . 
_t4 		what does the kookaburra do in the sun +//? 
_t4 		kookaburra sits on the +... 
_t4 		what kind of a tree does kookaburra sit on ? 
_t4 		in that song ? 
_t4 		old tree , yep [: yes] . 
_t4 		what kind of a tree ? 
_t4 		an old +... 
_t4 		gum tree .
_t4 		yeah , in the gum tree . 
_t4 		what's the next part of that song , do you remember ? 
_t4 		oh , that's the other song . 
_t4 		no I'm thinking of kookaburra sits in the old gum tree +... 
_t4 		merry , merry +... 
_t4 		king ! 
_t4 		of the +... 
_t4 		of the bush , right ? 
_t4 		is he +... 
_t4 		yeah . 
_t4 		gay your life must be . 
_t4 		you're coming down ? 
_t4 		stairs ? 
_t4 		xxx .
_t4 		hello , can you see me ? 
_t4 		oh you know what , it's probably zoomed [?] . 
_t4 		it's on zoom . 
_t4 		k [: okay] , do you see Mommy ? 
_t4 		do you see mommy in the camera ? 
_t4 		xxx . 
_t4 		you're sitting +//. 
_t4 		on the floor ? 
_t4 		here's your crown . 
_t4 		oh , you're a , you're a king , you're a king ! 
_t4 		oh , little king ! 
_t4 		king Naima ! 
_t4 		what are you doing ? 
_t4 		what do you think we're going to do when  . 
_t4 		don't need a slot , right [?] ? 
_t4 		you wanna look in the camera ? 
_t4 		well I'm not in it now . 
_t4 		that's the rest of the room . 
_t4 		I can see you . 
_t4 		there's the bed , see the bed ? 
_t4 		go ahead . 
_t4 		go in the bed . 
_t4 		xxx .
_t4 		okay . 
_t4 		uh +... 
_t4 		I put it up there on that table , see ? 
_t4 		on the table , it's the top , on top of where the nature book is . 
_t4 		see the nature book on the little table ? 
_t4 		not that table , the other table . 
_t4 		(o)kay , have a seat . 
_t4 		what's that cat doing ? 
_t4 		mmmm+hmmm . 
_t4 		that's called a fire  . 
_t4 		fish for the cat , yep [: yes] . 
_t4 		mmmm+hmmm . 
_t4 		do you know what that cat's doing ? 
_t4 		yes , licking her fur . 
_t4 		the , the dog is shaking off the water . 
_t4 		did we skip any pictures ? 
_t4 		oh . 
_t4 		what's the cat doing ? 
_t4 		yeah . 
_t4 		he went in the pond ? 
_t4 		and he got wet in the pond ? 
_t4 		do you think he was swimming ? 
_t4 		oh show me how you swim . 
_t4 		o:h .
_t4 		you are swimming . 
_t4 		okay .
_t4 		okay , come back to Mommy . 
_t4 		hi , little fish . 
_t4 		hi little fish . 
_t4 		yeah , now you're sitting down . 
_t4 		that's a brown bird . 
_t4 		watching the cat . 
_t4 		hmmm .
_t4 		I think the cat is watching the bird +//. 
_t4 		that cat is hiding underneath the rug . 
_t4 		that's what's happening there , I think . 
_t4 		that's the cat's bottom . 
_t4 		what is that ? 
_t4 		oh , the dog's muzzle ? 
_t4 		remember we talked about bears having muzzles ? 
_t4 		where ?
_t4 		oh , yes it's in the library . 
_t4 		yes , we returned it . 
_t4 		did we skip some pages here ? 
_t4 		oh that's the u+p+s man . 
_t4 		he's wearing a belt . 
_t4 		see ? 
_t4 		he likes to bury bones . 
_t4 		oh the cat says I am the cat , I don't care whether they feed me or not as long as I  fed [?] . 
_t4 		you remember that part . 
_t4 		sometimes I tease them to feed me . 
_t4 		sure is . 
_t4 		that mouse is sneaking around . 
_t4 		while the cat and the dog are asleep . 
_t4 		well this part of +//.
_t4 		I think that's right , I think this part of the dog's face is called a muzzle . 
_t4 		or the +//.
_t4 		hmmm . 
_t4 		muzzle . 
_t4 		you know what , I'll look that up , muzzle , I think that's right . 
_t4 		bears have muzzles too . 
_t4 		oh yeah . 
_t4 		I don't know where the musk +//.
_t4 		you wanna look through here again ? 
_t4 		there's Mommy's feet , you can see Mommy's feet in the camera . 
_t4 		I'm wearing some boots . 
_t4 		do you remember what kinds of animals have ,  +...
_t4 		did we review this ? 
_t4 		what kind of animals +...
_t4 		have pouches ? 
_t4 		no what kind of animals hop , we talked about this . 
_t4 		different animals hop . 
_t4 		rabbits hop . 
_t4 		what other kinds of animals hop ? 
_t4 		frogs hop . 
_t4 		armadillos hop ? 
_t4 		maybe +... 
_t4 		I'm not sure if they do . 
_t4 		they don't ? 
_t4 		um , how about crickets ? 
_t4 		and kangaroos ? 
_t4 		and any +//.
_t4 		oh birds sometimes , some kinds of birds hop . 
_t4 		cardinals hop ? 
_t4 		yes , they do fly . 
_t4 		and they eat seeds too .
_t4 		like that , is that how they do it ? 
_t4 		off the ground ? 
_t4 		yeah , I think they do eat them off the ground . 
_t4 		xxx . 
_t4 		birds use their beaks when they're eating . 
_t4 		I think we need to go soon . 
_t4 		it's time to go to the post+office . 
_t4 		and then it's time to meet Daddy . 
_t4 		but first we have_to pack some food to go . 
_t4 		have you had +...
_t4 		at the hospital . 
_t4 		she is licking her fur . 
_t4 		the kitty +...
_t4 		the kitty cat is licking her fur . 
_t4 		she has a toy . 
_t4 		she has a fish toy . 
_t4 		yup [: yes] .
_t4 		he's sleeping ? 
_t4 		mmmm+hmmm . 
_t4 		mmmm .
_t4 		he likes to bury bones . 
_t4 		dogs like to bury their bones . 
_t4 		okay , well I'm gonna get ready to go , I've got things to pack up +... 
_t4 		and then we need to +...
_t4 		check your diaper , and we need to +... 
_t4 		get bundled up (be)cause it's cold out . 
_t4 		are you telling your friends to be safe in that bus , be safe friends . 
_t4 		today is Halloween isn't it ? 
_t4 you wanna take off your costume for now 
_t4  looks like one antenna is falling off 
_t4  yeah I can take those out for little while we can put them back on when we are ready to go to the library 
_t4   you took it out for me okay you wanna give that to me okay . 
_t4 		has what hair elastic on it yeah all the other ones are in okay I think . 
_t4 		you wanna okay . 
_t4 		Doggy Woggy slid down the slide didn't he  I don't think this is gonna go on over your costume we need to take off you bee costume for now we put it back on when we go to the library . 
_t4 		okay let's take it off okay I forgot we didn't have this on  who just slid down who was that sliding dow ? 
_t4 		yeah that was your friend Liza  okay . 
_t4 		there she is I see it right there . 
_t4 		was she in the car earlier , yesterday she was in the car . 
_t4 		how many friends do you have right now you wanna count them ? 
_t4 		let's count them .
_t4 well when we go to the car we definitely have_to check 
_t4  I don't know if any of them are in your room do you think they might be in your room sometimes they they'll stay in Mommy's purse when I bring them somewhere to be with you 
_t4  they end up stay in my purse . 
_t4 		it's terrible to lose them but we always find them . 
_t4 		you're giving them to me ? 
_t4 		are they going for a ride you remember yesterday we saw a school bus just like your school bus when we were at the store we saw a little school bus just like the friends school bus . 
_t4 		I'm gonna look in my bag and see if any of your other friends are in there . 
_t4 I'm gonna just look in your room f
_t4  a second see if I can find them see if there's any friend here I don't see any  I'm gonna check my bag I have a feeling there might be in my bag  let see  there's lot of things here 
_t4  not friends not yet anyway no you're putting one in  . 
_t4 		is she hiding in there ? 
_t4 		she's trying to hide ? 
_t4 		where did Sally go ? 
_t4 		I think Sally is hiding in Mommy's bag Sally come back here there she is . 
_t4 		where did she go did she go in the hat ? 
_t4 		I don't know did she go in your hat ? 
_t4 		where . 
_t4 		there she is there she is . 
_t4 		is she gonna hide again ? 
_t4 		where did she go ?
_t4 		I don't know where did she go ? 
_t4 		where did that Sally Lally go ? 
_t4 		where did Sally go ? 
_t4 		I don't know where did she go ? 
_t4 		I don't know . 
_t4 		where did she ?
_t4 		there she is . 
_t4 		I see her .
_t4 		where did she go where that Sally Lally girl go ? 
_t4 		there she is . 
_t4 		I have_to find her .
_t4 		oh okay where is she ? 
_t4 		ah there she is I found her . 
_t4 		ah I have her now you wanna come get her ? 
_t4 		I'm just trying to get few things done while we play . 
_t4 		where's Sally Lally  . 
_t4 		ah .
_t4 ha  she was in my shirt she was hiding in my shirt I'm ganna [: going to] go here 
_t4  steal some cardboard looks like Daddy pulled that cardboard already        I just steal something here all+right we're done in the closet right now . 
_t4 		okay here is the hat . 
_t4 		Sally Lally now Mommy needs her . 
_t4 		scissors . 
_t4 		what what happen . 
_t4 		she can go in she can go in can't she , you're having trouble putting her in , how about I hold that open for you .
_t4 		there .
_t4 		where did she go ? 
_t4 		is she in your hat ? 
_t4 		oh my gush . 
_t4 		I don't know for sure where do you think she went . 
_t4 		oh there she is . 
_t4 		she must have gone to the tire store to buy some new tires don't you think . 
_t4 		I'm not sure . 
_t4 		ah there she is .
_t4 		where did the other friends go where did all your other friends go . 
_t4 		where did Sally go  is someone else in there too ? 
_t4 		who else is in there  that's Sally  just Sally in there . 
_t4 		okay keep it open while I'm putting her in okay we keep that open there . 
_t4 		oh where's Asha where is she ? 
_t4 		where did Asha basha go ? 
_t4 		open for Lucy . 
_t4 		are you gonna put Lucy in there now ?
_t4 		every body's +//.
_t4 		every body is getting a turn going in the hat . 
_t4 		I'm not sure where did Sally go . 
_t4 		did she hide somewhere ? 
_t4 		where there she is . 
_t4 		xxx .
_t4 		excuse me     . 
_t4 		I'm not so sure . 
_t4 		I'm not so sure where Sally went . 
_t4 		did she hide somewhere ? 
_t4 		she was in the hat  my gosh . 
_t4 		taking turns  who's turn is it next ? 
_t4 		oh is her turn next ah: . 
_t4 		where's Asha Basha ? 
_t4 		okay I'm opening the hat for you . 
_t4 I don't know where did Asha Basha go 
_t4    where did that Asha Basha girl go did she go hiding did she go to the hospital to have lunch with Daddy or something is that what happen she might have done that . 
_t4 		oh she was in the hat   I see she was in the hat all along . 
_t4 		let's see attention . 
_t4 		where did Sally go ? 
_t4 		did she go in the hat ? 
_t4 		oh there she is . 
_t4 		back where they belong . 
_t4 		let's take them into the living room . 
_t4 		well lose them there you wanna lose those I have_to make my antenna . 
_t4 		is it difficult to do that ? 
_t4 		I'd like to go back into the living room I think +//.
_t4 		would you like to come with me ? 
_t4 		oh you're putting legos away okay . 
_t4 		how about if I carry the base plate and you carry the friends with the school bus ? 
